,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0,76.59,80.52,139.98,0,0,0
Return on Assets (%),-5.58,6.70,16.53,5.37,3.74,2.52,2.79,-14.57,-3.10,0.19
Return on Capital (%),0,49.52,0,14.53,9.46,7.01,7.14,0,0,4.03
Return on Invested Capital (%),0,26.66,0,13.73,10.39,8.18,8.20,0,0,3.20
Gross Margin (%),22.75,25.11,31.77,29.47,26.19,22.57,22.70,-43.81,0.09,18.45
EBITDA Margin (%),11.14,15.39,21.62,19.44,16.08,12.58,13.15,-50.23,-9.14,8.37
Operating Margin (%),7.32,11.84,17.70,14.92,11.30,7.73,8.08,-63.90,-16.95,3.68
Incremental Operating Margin (%),77.54,19.43,-132.89,155.80,-60.34,-56.86,20.95,0,0,35.96
Pretax Margin (%),-8.15,7.53,11.26,10.70,7.31,4.23,4.93,-66.06,-8.53,0.38
Profit Margin (%),-6.86,6.76,18.57,6.66,4.55,3.17,3.68,-51.25,-6.67,0.26
Net Income to Common Margin (%),-6.86,6.76,18.57,6.66,4.55,3.17,3.68,-51.25,-6.67,0.26
Effective Tax Rate (%),0,10.27,0,37.75,37.78,25.05,25.27,0,0,31.72
Dvd Payout Ratio (%),0,5.00,3.65,8.37,10.32,13.17,10.56,-0.48,0,0
Sustainable Growth Rate (%),0,0,0,0,68.69,69.92,125.20,0,0,0
