,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),155.89,166.26,365.34,178.74,107.55,128.33,194.11,158.95,547.27,297.87
Return on Assets (%),14.69,6.25,12.76,9.99,7.76,8.74,10.62,3.85,7.77,8.30
Return on Capital (%),24.34,12.97,22.93,17.78,14.27,0,16.14,0,16.35,18.64
Return on Invested Capital (%),24.30,15.67,22.73,18.77,16.24,0,27.67,0,17.56,19.15
Gross Margin (%),75.62,77.83,80.31,77.25,75.05,76.44,77.64,66.41,68.96,70.00
EBITDA Margin (%),36.72,22.79,37.29,42.02,40.47,26.17,46.25,41.55,48.77,46.99
Operating Margin (%),31.94,18.85,33.63,37.38,35.15,20.78,40.19,27.42,33.61,32.41
Incremental Operating Margin (%),-25.12,-191.37,135.36,68.26,12.99,-68.59,1278.95,-6.44,60.86,-3.88
Pretax Margin (%),28.38,11.87,29.07,30.75,27.39,15.87,25.33,7.42,23.11,23.21
Profit Margin (%),21.97,8.89,22.50,23.22,18.82,17.36,23.69,10.08,20.54,20.39
Net Income to Common Margin (%),21.97,8.89,22.50,23.22,18.82,17.36,23.69,10.08,20.54,20.39
Effective Tax Rate (%),22.58,25.12,22.59,24.49,31.29,0,6.46,0,11.09,12.11
Dvd Payout Ratio (%),61.89,150.00,64.04,62.44,77.36,98.12,80.77,166.72,80.14,84.72
Sustainable Growth Rate (%),59.40,-83.13,131.39,67.14,24.35,2.41,37.34,-106.06,108.69,45.51
