,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,87959,119569,135962,146850,153144,167940,179589,189894,213989,238587
+ Sales & Services Revenue,87959,119569,135962,146850,153144,167940,179589,189894,213989,238587
- Cost of Revenue,85451,116587,132432,142577,148598,163327,174451,184702,207046,230291
+ Cost of Goods & Services,85451,116587,132432,142577,148598,163327,174451,184702,207046,230291
Gross Profit,2508,2982,3529,4273,4546,4612,5138,5192,6943,8296
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,1496,1773,2161,2456,2526,2925,3126,3158,4099,5543
"+ Selling, General & Admin",1334,1587,1918,2091,2129,2460,2664,2767,3594,4849
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,162,185,243,365,398,465,462,391,505,694
Operating Income (Loss),1012,1210,1368,1817,2020,1687,2012,2034,2844,2754
- Non-Operating (Income) Loss,187,536,1094,426,1052,509,1045,7327,622,570
"+ Interest Expense, Net",73,76,96,135,141,160,120,117,174,189
+ Interest Expense,74,77,99,140,145,175,158,138,183,211
- Interest Income,1,1,3,4,4,15,38,21,8,21
+ Other Non-Op (Income) Loss,115,460,998,290,910,350,925,7210,448,381
Pretax Income,824,673,274,1391,968,1177,967,-5294,2222,2183
- Income Tax Expense (Benefit),331,389,409,-37,553,-438,113,-1894,677,517
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,493,284,-135,1428,414,1616,854,-3400,1545,1667
- Net Extraordinary Losses (Gains),60,8,0,0,0,-85,-2,18,9,-65
+ Discontinued Operations,-60,-8,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,119,15,0,0,0,-85,-2,18,9,-65
Income (Loss) Incl. MI,434,276,-135,1428,414,1701,857,-3418,1535,1731
- Minority Interest,0,0,0,0,0,43,1,-9,-5,32
"Net Income, GAAP",434,276,-135,1428,414,1658,855,-3409,1540,1699
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",434,276,-135,1428,414,1658,855,-3409,1540,1699
Basic Weighted Avg Shares,231,227,218,212,218,218,210,205,206,208
"Basic EPS, GAAP",1.88,1.22,-0.62,6.73,1.90,7.61,4.07,-16.65,7.48,8.15
Basic EPS from Cont Ops,2.14,1.25,-0.62,6.73,1.90,7.42,4.06,-16.60,7.50,7.99
Diluted Weighted Avg Shares,235,235,218,226,222,220,212,205,208,211
"Diluted EPS, GAAP",1.84,1.17,-0.62,6.32,1.87,7.53,4.04,-16.65,7.39,8.04
Diluted EPS from Cont Ops,2.10,1.21,-0.62,6.32,1.87,7.33,4.03,-16.60,7.41,7.89
EBITDA,1183,1403,1618,2209,2452,2197,2510,2442,3359,3463
EBITDA Margin (%),1.34,1.17,1.19,1.50,1.60,1.31,1.40,1.29,1.57,1.45
EBITA,1021,1217,1374,1844,2054,1732,2048,2051,2844,2769
EBIT,1012,1210,1368,1817,2020,1687,2012,2034,2844,2754
Gross Margin (%),2.85,2.49,2.60,2.91,2.97,2.75,2.86,2.73,3.24,3.48
Operating Margin (%),1.15,1.01,1.01,1.24,1.32,1.00,1.12,1.07,1.33,1.15
Profit Margin (%),0.49,0.23,-0.10,0.97,0.27,0.99,0.48,-1.80,0.72,0.71
Sales per Employee,6766090,8540652,7769246,7728931,7657191,7997125,8163142,8631542,5094972,5422432
Dividend per Share,0.85,0.94,1.17,1.36,1.47,1.53,1.61,1.68,1.78,1.88
Depreciation Expense,162,185,243,365,398,465,462,391,515,694
