,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.85,0.42,0.67,2.82,1.08,0.45,0.38,0.60,0.78,0.66
Current Ratio,2.02,1.45,1.54,4.02,2.26,1.62,1.44,1.72,1.85,1.63
Quick Ratio,1.27,0.76,1.04,3.31,1.67,1.03,0.88,1.14,1.28,1.23
CFO/Avg Current Liab,0.29,0.37,0.30,0.40,0.72,0.70,0.62,0.69,0.84,0.67
Common Equity/Total Assets,79.22,85.42,93.32,73.28,61.88,71.56,73.21,71.36,74.47,80.56
Long-Term Debt/Equity (%),13.41,15.75,27.53,99.83,87.50,63.01,55.64,58.87,50.67,41.90
Long-Term Debt/Capital (%),8.33,7.89,12.33,34.03,36.13,28.54,25.31,27.12,24.26,19.85
Long-Term Debt/Total Assets (%),7.89,8.26,14.23,39.27,35.69,28.82,25.65,26.78,24.27,20.78
Total Debt/Equity (%),25.97,36.25,42.21,106.22,89.79,63.69,60.36,59.54,52.76,48.00
Total Debt/Capital (%),16.13,18.15,18.91,36.21,37.08,28.84,27.46,27.43,25.27,22.74
Total Debt/Total Assets (%),15.27,19.01,21.82,41.78,36.62,29.13,27.83,27.08,25.28,23.80
CFO/Total Liabilities,18.79,18.72,14.89,10.03,12.34,17.28,16.77,19.98,26.89,25.53
CFO/CapEx,2.90,3.41,2.67,2.86,4.91,4.52,3.75,3.63,5.59,5.39
Altman's Z-Score,4.68,4.77,4.77,3.32,3.93,5.41,5.72,5.89,7.08,6.26
