,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,4046,4603,4822,5840,7248,4857,6495,8146,8651,8996
"+ Cash, Cash Equivalents & STI",3174,3739,3988,4761,5820,3229,4177,5992,5798,6096
+ Cash & Cash Equivalents,835,1117,877,1011,2306,1643,2650,4478,3844,4236
+ ST Investments,2339,2622,3112,3750,3514,1586,1527,1514,1954,1860
+ Accounts & Notes Receiv,600,592,672,833,1218,1316,1535,1398,1878,2065
"+ Accounts Receivable, Net",600,592,672,833,1218,1316,1535,1398,1878,2065
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",0,0,0,0,0,0,0,0,0,0
+ Inventories,0,0,0,0,0,0,0,0,0,0
+ Raw Materials,0,0,0,0,0,0,0,0,0,0
+ Work In Process,0,0,0,0,0,0,0,0,0,0
+ Finished Goods,0,0,0,0,0,0,0,0,0,0
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,0,0,0,0,0,0,0,0,0,0
+ Other ST Assets,272,271,162,245,210,312,783,756,975,835
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,6334,6184,6905,6867,7288,13912,14267,16138,18590,18169
"+ Property, Plant & Equip, Net",-128,-129,-184,-294,-330,-331,-276,546,665,746
"+ Property, Plant & Equip",660,785,787,816,937,1075,1293,2004,2116,2315
- Accumulated Depreciation,788,914,971,1110,1267,1406,1569,1458,1451,1569
+ LT Investments & Receivables,207,80,80,80,0,0,0,0,0,0
+ LT Investments,207,80,80,80,0,0,0,0,0,0
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
