,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,6870,5690,5877,6931,7493,8388,9096,11053,9539,9180
ST Debt,1523,132,98,427,870,690,1424,2305,958,503
LT Debt,5347,5558,5779,6504,6623,7698,7672,8748,8581,8677
Total Debt/EBITDA,2.26,1.52,2.03,2.73,3.07,2.84,3.44,4.03,2.39,1.75
Net Debt/EBITDA,1.23,1.22,1.72,2.49,2.74,2.16,3.03,3.38,2.15,1.55
Total Debt/EBIT,3.23,1.99,2.92,4.23,4.95,4.16,5.50,6.26,3.19,2.18
Net Debt/EBIT,1.76,1.60,2.47,3.85,4.42,3.17,4.85,5.25,2.87,1.93
EBITDA to Interest Expense,7.36,11.14,9.39,8.67,7.38,8.12,6.58,8.09,15.05,13.23
EBITDA-CapEx/Interest Expense,5.15,8.49,5.74,5.66,4.21,5.81,4.52,5.66,10.64,9.90
EBIT to Interest Expense,5.16,8.49,6.53,5.59,4.58,5.54,4.11,5.21,11.29,10.64
Interest Expense,413,337,308,293,330,364,402,339,265,396
Common Equity/Total Assets,46.20,47.28,49.92,49.71,49.92,51.64,49.12,67.31,69.01,72.36
Long-Term Debt/Equity (%),26.53,28.31,32.26,37.86,36.15,40.52,39.91,43.69,37.69,35.25
Long-Term Debt/Capital (%),19.72,20.93,22.28,24.34,24.09,26.07,24.94,25.93,24.93,23.92
Long-Term Debt/Total Assets (%),12.22,12.62,14.39,16.35,16.57,18.85,17.44,26.05,24.03,23.43
Total Debt/Equity (%),34.09,28.99,32.80,40.34,40.90,44.16,47.31,55.20,41.90,37.29
Total Debt/Capital (%),25.33,21.42,22.66,25.93,27.25,28.41,29.56,32.77,27.71,25.31
Total Debt/Total Assets (%),15.70,12.92,14.64,17.43,18.75,20.54,20.67,32.91,26.71,24.79
Net Debt to Equity,18.60,23.39,27.73,36.74,36.51,33.64,41.76,46.26,37.76,33.08
Net Debt/Capital (%),15.62,18.03,19.85,24.18,25.06,23.22,26.84,28.01,25.67,23.11
EBITDA,3039,3755,2892,2539,2437,2957,2647,2742,3989,5240
EBITDA-CapEx,2126,2861,1767,1657,1388,2115,1819,1919,2820,3921
Operating Income (Loss),2130,2861,2010,1639,1513,2016,1654,1766,2993,4212
