,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.23,0.10,0.10,0.07,0.06,0.17,0.06,0.04,0.98,2.06
Current Ratio,1.82,1.67,1.62,1.60,1.59,1.75,1.55,1.50,11.99,25.18
Quick Ratio,0.55,0.40,0.44,0.40,0.36,0.50,0.44,0.31,7.01,17.11
CFO/Avg Current Liab,0.67,0.32,0.16,0.11,0.17,-0.39,-0.43,-0.15,0.69,4.76
Common Equity/Total Assets,46.20,47.28,49.92,49.71,49.92,51.64,49.12,67.31,69.01,72.36
Long-Term Debt/Equity (%),26.53,28.31,32.26,37.86,36.15,40.52,39.91,43.69,37.69,35.25
Long-Term Debt/Capital (%),19.72,20.93,22.28,24.34,24.09,26.07,24.94,25.93,24.93,23.92
Long-Term Debt/Total Assets (%),12.22,12.62,14.39,16.35,16.57,18.85,17.44,26.05,24.03,23.43
Total Debt/Equity (%),34.09,28.99,32.80,40.34,40.90,44.16,47.31,55.20,41.90,37.29
Total Debt/Capital (%),25.33,21.42,22.66,25.93,27.25,28.41,29.56,32.77,27.71,25.31
Total Debt/Total Assets (%),15.70,12.92,14.64,17.43,18.75,20.54,20.67,32.91,26.71,24.79
CFO/Total Liabilities,22.18,20.67,10.30,6.54,10.24,-21.96,-22.06,-17.60,50.93,28.02
CFO/CapEx,5.72,5.64,2.04,1.67,2.11,-5.68,-6.58,-2.90,5.64,2.64
Altman's Z-Score,3.80,3.90,3.55,3.51,3.37,3.55,3.37,5.09,6.49,7.82
