,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,14.50,14.64,15.04,14.73,14.01,13.86,13.81,14.34,15.06,15.39
Days Sales Outstanding,25.16,24.93,24.27,24.78,26.06,26.34,26.43,25.45,24.23,23.72
Inventory Turnover,5.67,6.83,6.59,6.35,6.38,6.96,6.48,5.79,6.12,7.33
Days Inventory Outstanding,64.32,53.44,55.36,57.45,57.22,52.46,56.30,63.09,59.69,49.80
Accounts Payable Turnover,4.63,4.73,4.72,4.26,3.91,4.02,3.76,3.23,3.38,4.16
Accounts Payable Turnover Days,78.85,77.25,77.26,85.62,93.24,90.75,97.11,112.84,107.85,87.73
Cash Conversion Cycle,10.63,1.12,2.37,-3.39,-9.97,-11.94,-14.37,-24.30,-23.93,-14.21
Inventory to Cash Days,-39.15,-28.50,-31.09,-32.67,-31.16,-26.12,-29.87,-37.64,-35.46,-26.08
Inventories,526,524,538,527,522,483,494,521,592,667
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,526,524,538,527,522,483,494,521,592,667
