,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,4897,5582,5011,6009,5837,5778,6569,7899,7956,7442
ST Debt,0,300,0,649,548,0,0,0,0,0
LT Debt,4897,5282,5011,5360,5289,5778,6569,7899,7956,7442
Total Debt/EBITDA,0,0,0,0,0,0,0,0,0,0
Net Debt/EBITDA,0,0,0,0,0,0,0,0,0,0
Total Debt/EBIT,0,0,0,0,0,0,0,0,0,0
Net Debt/EBIT,0,0,0,0,0,0,0,0,0,0
EBITDA to Interest Expense,0,0,0,0,0,0,0,0,0,0
EBITDA-CapEx/Interest Expense,0,0,0,0,0,0,0,0,0,0
EBIT to Interest Expense,0,0,0,0,0,0,0,0,0,0
Interest Expense,293,317,289,268,240,222,228,242,238,226
Common Equity/Total Assets,16.45,18.56,20.35,20.06,21.84,22.74,22.53,23.09,26.35,33.78
Long-Term Debt/Equity (%),33.50,28.22,28.83,26.17,21.71,24.63,22.68,23.54,23.93,36.95
Long-Term Debt/Capital (%),19.71,19.00,17.23,16.72,14.77,15.33,16.02,17.17,16.08,14.33
Long-Term Debt/Total Assets (%),4.04,4.41,4.24,4.13,3.85,4.12,4.30,4.78,5.05,5.65
Total Debt/Equity (%),33.50,29.82,28.83,29.34,23.96,24.63,22.68,23.54,23.93,36.95
Total Debt/Capital (%),19.71,20.08,17.23,18.74,16.30,15.33,16.02,17.17,16.08,14.33
Total Debt/Total Assets (%),4.04,4.66,4.24,4.63,4.25,4.12,4.30,4.78,5.05,5.65
Net Debt to Equity,16.10,4.94,3.80,2.45,7.38,6.14,5.78,7.76,8.38,17.37
Net Debt/Capital (%),10.55,3.99,2.67,1.84,5.57,4.32,4.63,6.37,6.28,7.29
EBITDA,0,0,0,0,0,0,0,0,0,0
EBITDA-CapEx,0,0,0,0,0,0,0,0,0,0
Operating Income (Loss),0,0,0,0,0,0,0,0,0,0
