,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,9.81,9.48,10.29,10.77,7.95,11.85,11.85,6.57,9.12,10.34
Price/Earnings Average,8.52,9.39,10.50,10.49,7.07,11.82,11.56,5.94,8.31,8.89
Price/Earnings High,9.95,10.20,11.31,11.53,8.14,12.70,12.85,7.99,9.22,10.45
Price/Earnings Low,7.09,8.41,8.74,8.44,6.03,10.91,9.95,3.45,6.69,7.48
Price/Book Value,1.54,1.23,1.07,1.08,1.14,1.06,1.11,0.80,0.92,0.99
Price/Book Value Average,1.33,1.22,1.09,1.06,1.02,1.06,1.09,0.72,0.84,0.86
Price/Book Value High,1.56,1.33,1.17,1.16,1.17,1.14,1.21,0.97,0.93,1.01
Price/Book Value Low,1.11,1.09,0.91,0.85,0.87,0.98,0.93,0.42,0.67,0.72
Price/Tangible Book Value,2.10,1.47,1.48,1.38,1.41,1.45,1.32,0.91,1.15,2.20
Price/Tangible Book Value Average,1.82,1.45,1.51,1.34,1.25,1.44,1.29,0.82,1.05,1.89
Price/Tangible Book Value High,2.12,1.58,1.62,1.48,1.44,1.55,1.44,1.10,1.16,2.22
Price/Tangible Book Value Low,1.51,1.30,1.26,1.08,1.07,1.33,1.11,0.48,0.84,1.59
Price/Sales,1.29,1.23,1.25,1.27,1.60,1.59,1.76,1.42,1.78,2.39
Price/Sales Average,1.12,1.22,1.27,1.24,1.43,1.59,1.71,1.28,1.63,2.05
Price/Sales High,1.31,1.32,1.37,1.36,1.64,1.70,1.90,1.72,1.80,2.41
Price/Sales Low,0.93,1.09,1.06,1.00,1.22,1.46,1.47,0.74,1.31,1.73
Price/Cash Flow,2.94,4.27,3.85,4.78,5.67,5.75,7.18,5.27,7.81,11.77
Price/Cash Flow Average,2.55,4.23,3.93,4.66,5.04,5.74,7.00,4.76,7.11,10.12
Price/Cash Flow High,2.98,4.59,4.23,5.12,5.80,6.17,7.78,6.40,7.90,11.90
Price/Cash Flow Low,2.12,3.79,3.27,3.75,4.30,5.30,6.03,2.76,5.73,8.52
Price/Free Cash Flow,2.96,4.30,3.87,4.81,5.71,5.79,7.22,5.29,7.85,11.83
Price/Free Cash Flow Average,2.57,4.26,3.95,4.69,5.08,5.78,7.04,4.78,7.15,10.17
Price/Free Cash Flow High,3.00,4.62,4.25,5.15,5.85,6.21,7.82,6.43,7.93,11.95
Price/Free Cash Flow Low,2.13,3.81,3.29,3.77,4.33,5.33,6.06,2.77,5.76,8.56
EV/Sales,0,0,0,0,0,0,0,0,0,0
EV/Sales Average,1.21,1.24,1.29,1.27,1.51,1.62,1.75,1.37,1.71,2.17
EV/Sales High,1.40,1.34,1.38,1.39,1.73,1.74,1.94,1.80,1.88,2.52
EV/Sales Low,1.02,1.11,1.08,1.03,1.31,1.50,1.52,0.85,1.40,1.86
EV/EBITDA,0,0,0,0,0,0,0,0,0,0
EV/EBITDA Average,0,0,0,0,0,0,0,0,0,0
EV/EBITDA High,0,0,0,0,0,0,0,0,0,0
EV/EBITDA Low,0,0,0,0,0,0,0,0,0,0
EV/EBIT,0,0,0,0,0,0,0,0,0,0
EV/EBIT Average,0,0,0,0,0,0,0,0,0,0
EV/EBIT High,0,0,0,0,0,0,0,0,0,0
EV/EBIT Low,0,0,0,0,0,0,0,0,0,0
Last Price,33.35,30.99,30.26,34.80,43.89,44.95,52.74,44.01,58.56,71.94
High Price,33.81,33.35,33.26,37.25,44.90,48.19,57.18,53.46,59.22,72.70
Low Price,24.08,27.50,25.71,27.29,33.25,41.41,44.28,23.07,42.96,52.07
Enterprise Value,-28046,-39923,-41450,-47308,-48716,-47504,-51258,-72649,-57602,-27980
Enterprise Value Average,28964,28109,26877,28669,32803,35315,39057,30279,37691,41555
Enterprise Value High,33420,30431,28895,31383,37413,37838,43231,39777,41524,48228
Enterprise Value Low,24484,25254,22478,23295,28311,32717,33855,18733,30921,35535
