,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,3180,4627,5392,5595,6160,6934,7195,7004,8209,8551
+ Sales & Services Revenue,3180,4627,5392,5595,6160,6934,7195,7004,8209,8551
- Cost of Revenue,2122,3227,3780,3948,4388,4984,4831,4500,5234,4953
+ Cost of Goods & Services,2122,3227,3780,3948,4388,4984,4831,4500,5234,4953
Gross Profit,1057,1400,1612,1647,1771,1950,2364,2503,2976,3597
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,731,1026,1175,1149,1238,1323,1543,1469,1639,1931
"+ Selling, General & Admin",0,0,0,0,0,0,0,0,0,0
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,731,1026,1175,1149,1238,1323,1543,1469,1639,1931
Operating Income (Loss),326,374,437,499,533,627,821,1034,1337,1667
- Non-Operating (Income) Loss,52,107,144,142,155,148,195,164,362,340
"+ Interest Expense, Net",50,89,103,110,124,138,180,196,226,-257
+ Interest Expense,50,89,103,110,124,138,180,196,226,-257
- Interest Income,0,0,0,0,0,0,0,0,0,0
+ Other Non-Op (Income) Loss,2,18,41,32,31,10,15,-33,136,597
Pretax Income,275,267,294,357,378,479,626,871,975,1327
- Income Tax Expense (Benefit),6,-36,-96,-88,-121,-196,-90,13,20,211
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,269,303,389,445,499,676,716,858,955,1116
- Net Extraordinary Losses (Gains),16,24,65,61,72,85,94,79,96,4
+ Discontinued Operations,0,0,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,16,24,65,61,72,85,94,79,96,4
Income (Loss) Incl. MI,253,279,325,384,427,591,622,780,859,1112
- Minority Interest,-16,-24,-32,-31,-36,-42,-47,-39,-48,-2
"Net Income, GAAP",269,303,357,414,463,634,669,819,907,1114
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",269,303,357,414,463,634,669,819,907,1114
Basic Weighted Avg Shares,129,153,172,178,180,183,186,191,203,210
"Basic EPS, GAAP",2.08,1.98,2.07,2.33,2.57,3.47,3.60,4.29,4.47,5.30
Basic EPS from Cont Ops,2.08,1.98,2.26,2.51,2.77,3.70,3.85,4.49,4.71,5.31
Diluted Weighted Avg Shares,130,154,173,178,182,186,190,195,207,215
"Diluted EPS, GAAP",2.06,1.97,2.06,2.32,2.54,3.40,3.52,4.20,4.37,5.19
Diluted EPS from Cont Ops,2.06,1.97,2.25,2.49,2.74,3.63,3.76,4.40,4.61,5.20
EBITDA,505,633,771,850,919,1046,1296,1597,1903,2267
EBITDA Margin (%),15.88,13.68,14.30,15.19,14.92,15.09,18.01,22.80,23.18,26.51
EBITA,326,374,437,499,533,627,821,1034,1337,1667
EBIT,326,374,437,499,533,627,821,1034,1337,1667
Gross Margin (%),33.25,30.26,29.89,29.44,28.76,28.12,32.86,35.74,36.25,42.07
Operating Margin (%),10.26,8.08,8.11,8.92,8.65,9.05,11.41,14.77,16.29,19.49
Profit Margin (%),8.45,6.56,6.62,7.41,7.52,9.14,9.30,11.69,11.05,13.03
Sales per Employee,193878,229035,250809,225597,229836,228092,216066,216154,210497,194332
Dividend per Share,1.42,1.46,1.50,1.53,1.57,1.65,1.73,1.82,1.93,2.04
Depreciation Expense,179,259,334,351,386,419,474,562,566,600
