,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0,0,0,0,169.76,69.88,32.93
Return on Assets (%),10.56,9.60,7.85,7.39,4.86,5.93,7.67,7.54,8.20,6.37
Return on Capital (%),-14.13,-23.59,-40.73,-67.85,-116.63,63.77,27.12,20.35,19.14,11.56
Return on Invested Capital (%),11.57,10.93,8.90,8.39,6.86,8.19,9.28,9.61,10.10,7.56
Gross Margin (%),67.61,68.89,66.98,65.43,65.01,64.87,65.87,64.58,63.34,61.74
EBITDA Margin (%),38.04,37.58,34.88,34.37,30.63,31.33,35.20,36.90,39.23,35.99
Operating Margin (%),26.35,24.99,21.25,20.08,15.76,15.33,19.97,21.94,23.32,19.60
Incremental Operating Margin (%),49.48,19.41,-10.19,2.09,-46.28,10.20,90.40,40.61,40.11,-63.26
Pretax Margin (%),26.59,24.43,20.78,19.63,12.63,12.64,18.40,19.26,21.04,18.19
Profit Margin (%),18.60,17.00,14.63,13.51,8.72,10.99,16.52,17.42,18.83,14.48
Net Income to Common Margin (%),18.60,17.00,14.63,13.51,8.72,10.99,16.52,17.42,18.83,14.48
Effective Tax Rate (%),30.05,30.40,29.61,31.19,30.94,13.03,10.02,7.45,8.59,19.25
Dvd Payout Ratio (%),0,0,0,0,0,0,0,0,0,0
Sustainable Growth Rate (%),0,0,0,0,0,0,0,169.76,69.88,32.93
