,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,12.84,35.89,18.70,15.03,258.61,12.00,14.29,42.27,219.51,9.44
Price/Earnings Average,12.98,37.96,17.80,12.92,232.98,15.53,14.40,24.89,183.71,10.41
Price/Earnings High,14.20,45.03,21.58,16.10,293.19,21.68,18.51,43.46,273.02,14.57
Price/Earnings Low,11.49,30.31,13.73,7.99,175.89,11.24,11.65,13.84,125.35,7.40
Price/Book Value,3.37,3.36,3.91,4.56,6.94,3.16,2.59,5.05,8.85,4.54
Price/Book Value Average,3.41,3.56,3.72,3.92,6.25,4.09,2.61,2.98,7.41,5.00
Price/Book Value High,3.73,4.22,4.51,4.89,7.87,5.71,3.35,5.20,11.01,7.00
Price/Book Value Low,3.02,2.84,2.87,2.43,4.72,2.96,2.11,1.65,5.06,3.55
Price/Tangible Book Value,3.70,3.95,-5.16,4.73,7.92,4.49,3.53,6.50,7.03,4.04
Price/Tangible Book Value Average,3.74,4.18,-4.91,4.07,7.13,5.81,3.56,3.83,5.89,4.46
Price/Tangible Book Value High,4.09,4.96,-5.95,5.07,8.98,8.11,4.57,6.68,8.75,6.24
Price/Tangible Book Value Low,3.31,3.34,-3.79,2.52,5.38,4.20,2.88,2.13,4.02,3.17
Price/Sales,2.03,1.96,1.72,3.61,4.62,2.47,2.12,5.08,8.16,3.47
Price/Sales Average,2.05,2.07,1.63,3.11,4.16,3.19,2.14,2.99,6.83,3.82
Price/Sales High,2.24,2.45,1.98,3.87,5.23,4.46,2.75,5.22,10.15,5.35
Price/Sales Low,1.81,1.65,1.26,1.92,3.14,2.31,1.73,1.66,4.66,2.72
Price/Cash Flow,12.25,9.71,17.37,13.19,46.66,15.23,10.59,19.88,78.86,13.31
Price/Cash Flow Average,12.39,10.27,16.52,11.34,42.04,19.72,10.68,11.71,66.00,14.67
Price/Cash Flow High,13.56,12.19,20.03,14.13,52.90,27.53,13.72,20.44,98.08,20.54
Price/Cash Flow Low,10.97,8.20,12.75,7.01,31.74,14.27,8.63,6.51,45.03,10.43
Price/Free Cash Flow,9.07,7.97,10.68,10.48,23.12,6.74,4.87,9.67,21.04,8.06
Price/Free Cash Flow Average,9.17,8.43,10.16,9.01,20.83,8.72,4.91,5.69,17.61,8.88
Price/Free Cash Flow High,10.03,10.00,12.32,11.23,26.21,12.18,6.30,9.94,26.17,12.43
Price/Free Cash Flow Low,8.12,6.73,7.84,5.57,15.72,6.31,3.97,3.17,12.02,6.32
EV/Sales,2.21,2.17,2.77,3.71,4.88,2.79,2.86,6.06,8.88,3.73
EV/Sales Average,2.23,2.29,2.68,3.20,4.42,3.50,2.87,3.97,7.54,4.09
EV/Sales High,2.42,2.67,3.03,3.97,5.49,4.73,3.48,6.21,10.89,5.62
EV/Sales Low,2.01,1.87,2.31,2.02,3.40,2.64,2.46,2.64,5.35,2.98
EV/EBITDA,7.99,12.34,12.01,13.50,19.09,10.46,11.65,25.72,39.07,9.84
EV/EBITDA Average,8.07,12.97,11.64,11.65,17.31,13.10,11.72,16.83,33.16,10.77
EV/EBITDA High,8.73,15.14,13.16,14.44,21.50,17.71,14.21,26.33,47.91,14.80
EV/EBITDA Low,7.26,10.63,10.01,7.34,13.33,9.89,10.05,11.18,23.52,7.86
EV/EBIT,9.38,16.24,17.38,19.49,25.49,13.45,15.39,37.52,58.83,11.03
EV/EBIT Average,9.47,17.08,16.85,16.82,23.11,16.85,15.48,24.55,49.92,12.08
EV/EBIT High,10.26,19.93,19.04,20.85,28.71,22.78,18.76,38.40,72.13,16.59
EV/EBIT Low,8.52,13.99,14.49,10.59,17.79,12.72,13.27,16.31,35.41,8.81
Last Price,63.26,60.80,56.34,86.08,127.89,76.74,71.93,149.29,234.35,216.86
High Price,70.00,76.28,64.99,92.24,144.99,138.67,93.14,153.48,291.48,334.55
Low Price,56.64,51.35,41.37,45.78,86.98,71.89,58.63,48.89,133.82,169.93
Enterprise Value,5781,5318,10108,9933,14981,9429,10249,18976,29558,27335
Enterprise Value Average,5838,5591,9801,8574,13580,11813,10309,12418,25085,29932
Enterprise Value High,6321,6526,11078,10626,16871,15969,12498,19424,36243,41125
Enterprise Value Low,5251,4580,8428,5398,10459,8916,8839,8249,17794,21837
