,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
+ Net Income,64,146,144,190,231,400,443,1776,772,362
+ Depreciation & Amortization,17,18,18,24,38,55,79,94,109,126
+ Non-Cash Items,92,54,55,51,93,81,150,-1337,138,166
+ Stock-Based Compensation,26,40,53,54,59,71,88,98,114,133
+ Deferred Income Taxes,21,25,-1,-1,18,-16,0,-1492,15,-39
+ Asset Impairment Charge,67,0,0,0,0,0,28,6,0,0
+ Other Non-Cash Adj,-23,-11,3,-3,17,26,33,50,8,72
+ Chg in Non-Cash Work Cap,13,9,21,-17,76,19,75,130,154,-84
+ (Inc) Dec in Accts Receiv,-12,-27,-41,-94,-91,-109,-121,-140,-262,22
+ (Inc) Dec in Inventories,1,-2,-4,-8,-5,-24,-58,-29,-112,-130
+ (Inc) Dec in Prepaid Assets,0,-3,-4,-9,-9,-9,-32,-21,-125,-66
+ Inc (Dec) in Accts Payable,9,26,27,34,101,25,97,92,191,-152
+ Inc (Dec) in Other,15,16,42,61,80,136,189,228,463,242
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Operating Activities,186,227,238,248,439,555,747,662,1173,569
+ Change in Fixed & Intang,0,0,0,0,0,0,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0,0,0,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0,0,0,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Acq of Fixed & Intang,-19,-24,-53,-71,-196,-223,-150,-155,-401,-292
+ Acq of Fixed Prod Assets,-19,-24,-53,-71,-196,-223,-150,-155,-401,-292
+ Acq of Intangible Assets,0,0,0,0,0,0,0,0,0,0
+ Net Change in LT Investment,-181,-177,-113,198,-1,204,-208,316,-154,93
+ Dec in LT Investment,123,260,334,604,389,385,485,321,47,121
+ Inc in LT Investment,-304,-437,-447,-406,-390,-180,-693,-5,-201,-28
+ Net Cash From Acq & Div,-8,0,0,-47,-22,-5,0,-421,-8,-12
+ Cash from Divestitures,0,0,0,0,0,0,0,0,0,0
+ Cash for Acq of Subs,-8,0,0,-47,-22,-5,0,-421,-8,-12
+ Cash for JVs,0,0,0,0,0,0,0,0,0,0
+ Other Investing Activities,-2,0,0,-8,-29,31,7,28,0,-2
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,-211,-202,-166,73,-248,7,-350,-232,-563,-213
+ Dividends Paid,0,0,0,0,0,0,0,0,0,0
+ Net Cash From Debt,0,0,0,0,0,0,-46,0,0,0
+ Cash From Debt,0,0,0,0,0,0,0,0,0,0
+ Repayments of Debt,0,0,0,0,0,0,-46,0,0,0
+ Cash (Repurchase) of Equity,-61,-80,-90,-82,-89,-283,-382,20,-349,-409
+ Increase in Capital Stock,34,18,11,14,14,17,18,20,26,26
+ Decrease in Capital Stock,-95,-98,-102,-96,-104,-300,-400,0,-375,-435
+ Other Financing Activities,23,14,-10,-13,-46,-86,-58,-51,-109,-93
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,-38,-66,-101,-96,-135,-369,-486,-31,-458,-502
Effect of Foreign Exchange Rates,-1,-2,-3,-3,6,-5,2,10,-12,-12
Net Changes in Cash,-63,-41,-29,225,55,192,-89,400,151,-146
EBITDA,178,211,207,273,391,521,593,481,1085,780
EBITDA Margin (%),26.97,27.76,24.44,25.27,26.56,26.51,24.66,19.45,27.45,20.88
Net Cash Paid for Acquisitions,8,0,0,47,22,5,0,421,8,12
Free Cash Flow,167,203,185,177,243,331,598,507,771,277
Free Cash Flow to Firm,166,200,183,177,243,331,598,0,771,277
Free Cash Flow to Equity,167,203,185,177,243,331,552,507,771,277
Free Cash Flow per Basic Share,2.07,2.51,2.31,2.22,3.03,4.14,7.52,6.44,9.78,3.54
Price/Free Cash Flow,22.94,18.48,18.49,24.61,28.67,21.78,24.61,50.84,33.53,19.22
Cash Flow to Net Income,2.89,1.56,1.65,1.31,1.90,1.39,1.69,0.37,1.52,1.57
