,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,4597,4520,5255,7647,17784,16617,21618,41348,52123,16303
- Cash & Cash Equivalents,243,200,168,389,450,637,550,961,1099,942
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0
+ Total Debt,0,0,0,0,0,0,59,86,125,127
Enterprise Value,4227,4066,4728,7007,17063,15882,20809,40473,51077,15430
Total Capital,-96,-30,27,131,263,378,499,2302,2745,2694
Total Debt/Capital (%),0,0,0,0,0,0,11.86,3.74,4.57,4.71
Total Debt / EV,0,0,0,0,0,0,0.00,0.00,0.00,0.01
EV/Sales,6.40,5.34,5.59,6.49,11.58,8.08,8.65,16.37,12.92,4.13
EV/EBITDA,23.74,19.23,22.88,25.67,43.60,30.47,35.06,84.19,47.07,19.79
EV/EBIT,26.22,21.00,25.06,28.15,48.25,34.04,40.45,104.54,52.31,23.59
EV/Cash Flow to Firm,22.82,18.11,20.03,28.29,38.91,28.63,27.85,61.12,43.56,27.13
EV/Free Cash Flow to Firm,20.66,16.36,16.33,22.02,26.90,20.41,23.20,49.53,32.46,17.93
Diluted Market Cap,4712,4637,5389,7833,18182,16946,22078,41542,52759,16539
Diluted Enterprise Value,4469,4438,5221,7444,17733,16309,21587,40667,51785,15724
EV per Share,52.46,50.69,59.47,88.08,213.18,199.07,265.31,513.23,648.93,199.61
TTM Sales,660,762,845,1080,1473,1966,2407,2472,3953,3735
TTM EBITDA,178,211,207,273,391,521,593,481,1085,780
TTM Operating Income,161,194,189,249,354,467,514,387,976,654
TTM Cash Flow to Firm,185,224,236,248,439,555,747,662,1173,569
TTM Free Cash Flow to Firm,205,249,289,318,634,778,897,817,1574,861
