,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,36.57,26.12,23.77,23.08,24.55,23.38,25.49,8.88,12.04,22.91
Days Sales Outstanding,9.98,13.97,15.36,15.82,14.87,15.61,14.32,41.10,30.32,15.93
Inventory Turnover,65.44,66.59,67.91,79.08,37.13,112.67,103.06,61.71,81.04,96.19
Days Inventory Outstanding,5.58,5.48,5.37,4.62,9.83,3.24,3.54,5.92,4.50,3.79
Accounts Payable Turnover,59.89,62.33,59.10,49.95,18.31,52.33,49.02,31.22,31.34,38.13
Accounts Payable Turnover Days,6.09,5.86,6.18,7.31,19.93,6.97,7.45,11.69,11.64,9.57
Cash Conversion Cycle,9.46,13.60,14.55,13.12,4.76,11.88,10.42,35.32,23.18,10.15
Inventory to Cash Days,4.40,8.49,9.98,11.20,5.04,12.37,10.78,35.18,25.81,12.14
Inventories,60,58,51,47,57,60,72,57,62,104
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,60,58,51,47,57,60,72,57,62,104
