,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,6201,5194,5124,6347,6350,6451,6631,7825,7976,7964
ST Debt,0,0,0,0,0,0,0,0,0,0
LT Debt,6201,5194,5124,6347,6350,6451,6631,7825,7976,7964
Total Debt/EBITDA,16.85,14.19,13.81,16.62,13.15,12.62,10.25,11.41,7.34,9.40
Net Debt/EBITDA,15.02,12.40,12.48,15.47,11.87,11.65,9.73,10.86,6.64,8.53
Total Debt/EBIT,0,0,0,0,0,0,0,0,0,0
Net Debt/EBIT,0,0,0,0,0,0,0,0,0,0
EBITDA to Interest Expense,1.00,1.14,1.27,1.29,1.44,1.54,1.98,2.16,3.29,2.53
EBITDA-CapEx/Interest Expense,0.44,0.24,0.23,0.23,0.55,0.70,0.65,1.19,2.25,1.27
EBIT to Interest Expense,0,0,0,0,0,0,0,0,0,0
Interest Expense,367,322,292,295,335,332,327,318,330,335
Common Equity/Total Assets,28.81,34.88,37.67,37.46,38.44,39.24,40.09,41.89,59.33,52.03
Long-Term Debt/Equity (%),28.87,23.29,25.59,30.85,28.16,30.27,25.51,25.90,31.74,45.90
Long-Term Debt/Capital (%),14.57,11.60,11.07,13.01,12.37,12.31,11.64,12.51,11.58,13.10
Long-Term Debt/Total Assets (%),5.02,4.79,4.90,5.84,5.65,5.75,5.53,6.21,8.02,8.13
Total Debt/Equity (%),28.87,23.29,25.59,30.85,28.16,30.27,25.51,25.90,31.74,45.90
Total Debt/Capital (%),14.57,11.60,11.07,13.01,12.37,12.31,11.64,12.51,11.58,13.10
Total Debt/Total Assets (%),5.02,4.79,4.90,5.84,5.65,5.75,5.53,6.21,8.02,8.13
Net Debt to Equity,25.73,20.34,23.12,28.73,25.42,27.93,24.21,24.65,28.71,41.66
Net Debt/Capital (%),13.19,10.28,10.11,12.23,11.31,11.46,11.11,11.98,10.59,12.04
EBITDA,368,366,371,382,483,511,647,686,1086,847
EBITDA-CapEx,161,78,68,69,184,234,214,378,741,427
Operating Income (Loss),0,0,0,0,0,0,0,0,0,0
