,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0,0,0,0,0,0,0,0,0,0
Current Ratio,0,0,0,0,0,0,0,0,0,0
Quick Ratio,0,0,0,0,0,0,0,0,0,0
CFO/Avg Current Liab,0,0,0,0,0,0,0,0,0,0
Common Equity/Total Assets,28.81,34.88,37.67,37.46,38.44,39.24,40.09,41.89,59.33,52.03
Long-Term Debt/Equity (%),28.87,23.29,25.59,30.85,28.16,30.27,25.51,25.90,31.74,45.90
Long-Term Debt/Capital (%),14.57,11.60,11.07,13.01,12.37,12.31,11.64,12.51,11.58,13.10
Long-Term Debt/Total Assets (%),5.02,4.79,4.90,5.84,5.65,5.75,5.53,6.21,8.02,8.13
Total Debt/Equity (%),28.87,23.29,25.59,30.85,28.16,30.27,25.51,25.90,31.74,45.90
Total Debt/Capital (%),14.57,11.60,11.07,13.01,12.37,12.31,11.64,12.51,11.58,13.10
Total Debt/Total Assets (%),5.02,4.79,4.90,5.84,5.65,5.75,5.53,6.21,8.02,8.13
CFO/Total Liabilities,4.16,3.75,4.27,4.54,4.80,5.69,5.46,5.73,6.88,6.35
CFO/CapEx,20.49,11.24,11.93,12.76,14.43,18.68,11.85,17.83,14.83,12.19
Altman's Z-Score,0.83,1.03,1.05,1.06,1.15,1.10,1.18,1.17,1.57,1.56
