,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,2.59,2.63,2.55,2.57,2.65,2.62,2.85,2.85,2.97,2.77
Days Sales Outstanding,141.08,138.86,143.41,141.89,137.61,139.46,128.28,127.87,122.97,131.91
Inventory Turnover,0,0,0,0,0,0,0,0,0,0
Days Inventory Outstanding,0,0,0,0,0,0,0,0,0,0
Accounts Payable Turnover,0,0,0,0,0,0,0,0,0,0
Accounts Payable Turnover Days,0,0,0,0,0,0,0,0,0,0
Cash Conversion Cycle,0,0,0,0,0,0,0,0,0,0
Inventory to Cash Days,0,0,0,0,0,0,0,0,0,0
Inventories,0,0,0,0,0,0,0,0,0,0
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,0,0,0,0,0,0,0,0,0,0
