,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,1204,1221,1160,1078,1060,967,916,914,892,844
Diluted Weighted Avg Shares,1219,1231,1226,1116,1084,1026,945,923,919,877
Basic Weighted Avg Shares,1202,1215,1214,1107,1073,1013,937,916,910,871
Revenue per Share,6.25,7.47,7.96,9.78,13.55,17.03,15.59,18.78,25.34,29.60
EBITDA per Share,0.98,1.56,1.63,2.30,3.98,5.19,3.96,5.18,8.35,9.45
Operating Income per Share,0.64,1.26,1.32,1.94,3.60,4.73,3.58,4.77,7.91,8.94
"Basic EPS, GAAP",0.21,0.91,1.13,1.55,3.20,3.27,2.89,3.95,6.47,7.49
Basic EPS from Cont Ops,0.21,0.91,1.13,1.55,3.20,3.27,2.89,3.95,6.47,7.49
"Diluted EPS, GAAP",0.21,0.90,1.12,1.54,3.17,3.23,2.86,3.92,6.41,7.44
Diluted EPS from Cont Ops,0.21,0.90,1.12,1.54,3.17,3.23,2.86,3.92,6.41,7.44
Dividend per Share,0.38,0.40,0.40,0.40,0.40,0.60,0.82,0.86,0.92,1.00
Cash Flow per Share,0.52,1.48,0.96,2.23,3.36,3.74,3.47,4.15,5.98,6.20
Free Cash Flow per Basic Share,0.35,1.28,0.78,2.00,3.04,3.12,2.99,3.69,5.25,5.30
Cash & Equivalents per Share,1.57,2.59,4.28,3.48,6.86,4.17,3.95,6.28,6.12,3.06
Book Value per Share,10.38,10.72,12.05,14.16,17.23,21.60,26.63,29.78,36.16,44.91
Tangible Book Value per Share,2.24,2.99,3.06,3.09,5.25,3.37,5.09,7.61,9.71,9.66
