,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,5299,5506,3991,4272,5329,6475,6731,9763,16434,23601
+ Sales & Services Revenue,5299,5506,3991,4272,5329,6475,6731,9763,16434,23601
- Cost of Revenue,3321,3667,2911,3274,3506,4028,3863,5416,8505,12998
+ Cost of Goods & Services,3321,3667,2911,3274,3506,4028,3863,5416,8505,12998
Gross Profit,1978,1839,1080,998,1823,2447,2868,4347,7929,10603
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,1893,1690,1432,1380,1619,1996,2237,2978,4281,9339
"+ Selling, General & Admin",674,604,482,460,511,562,750,995,1448,2336
+ Research & Development,1201,1072,947,1008,1160,1434,1547,1983,2845,5005
+ Other Operating Expense,18,14,3,-88,-52,0,-60,0,-12,1998
Operating Income (Loss),85,149,-352,-382,204,451,631,1369,3648,1264
- Non-Operating (Income) Loss,159,547,294,66,135,121,259,94,-21,80
"+ Interest Expense, Net",172,174,160,154,120,103,79,39,26,23
+ Interest Expense,177,177,160,156,126,121,94,47,34,88
- Interest Income,5,3,0,2,6,18,15,8,8,65
+ Other Non-Op (Income) Loss,-13,373,134,-88,15,18,180,55,-47,57
Pretax Income,-74,-398,-646,-448,69,330,372,1275,3669,1184
- Income Tax Expense (Benefit),9,5,14,39,19,-9,31,-1210,513,-122
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,-83,-403,-660,-497,43,337,341,2490,3162,1320
- Net Extraordinary Losses (Gains),0,0,0,0,0,0,0,0,0,0
+ Discontinued Operations,0,0,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,-83,-403,-660,-497,43,337,341,2490,3162,1320
- Minority Interest,0,0,0,0,0,0,0,0,0,0
"Net Income, GAAP",-83,-403,-660,-497,43,337,341,2490,3162,1320
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",-83,-403,-660,-497,43,337,341,2490,3162,1320
Basic Weighted Avg Shares,754,768,783,835,952,982,1091,1184,1213,1561
"Basic EPS, GAAP",-0.11,-0.52,-0.84,-0.60,0.05,0.34,0.31,2.10,2.61,0.85
Basic EPS from Cont Ops,-0.11,-0.52,-0.84,-0.60,0.05,0.34,0.31,2.10,2.61,0.85
Diluted Weighted Avg Shares,754,768,783,835,1039,1064,1120,1207,1229,1571
"Diluted EPS, GAAP",-0.11,-0.52,-0.84,-0.60,0.04,0.32,0.30,2.06,2.57,0.84
Diluted EPS from Cont Ops,-0.11,-0.52,-0.84,-0.60,0.04,0.32,0.30,2.06,2.57,0.84
EBITDA,321,352,-185,-249,348,621,889,1723,4111,5526
EBITDA Margin (%),6.06,6.39,-4.64,-5.83,6.53,9.59,13.21,17.65,25.02,23.41
EBITA,85,149,-352,-382,204,451,631,1369,3648,3426
EBIT,85,149,-352,-382,204,451,631,1369,3648,1264
Gross Margin (%),37.33,33.40,27.06,23.36,34.21,37.79,42.61,44.53,48.25,44.93
Operating Margin (%),1.60,2.71,-8.82,-8.94,3.83,6.97,9.37,14.02,22.20,5.36
Profit Margin (%),-1.57,-7.32,-16.54,-11.63,0.81,5.20,5.07,25.50,19.24,5.59
Sales per Employee,496580,567629,438571,520976,598764,641089,590439,774841,1060258,944040
Dividend per Share,0,0,0,0,0,0,0,0,0,0
Depreciation Expense,236,203,167,133,144,170,258,354,463,2100
