,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,245,241,236,229,231,227,229,231,232,230
Diluted Weighted Avg Shares,246,247,242,234,232,233,229,231,233,232
Basic Weighted Avg Shares,244,245,240,233,230,231,228,229,231,230
Revenue per Share,14.74,16.42,16.57,16.51,18.68,20.99,22.65,19.79,24.02,26.72
EBITDA per Share,3.83,4.24,4.41,4.22,4.77,5.52,6.20,5.59,6.93,7.91
Operating Income per Share,3.34,3.67,3.78,3.45,3.97,4.66,5.17,4.48,5.67,6.52
"Basic EPS, GAAP",2.12,2.39,2.46,2.20,2.96,3.37,3.78,3.80,4.29,5.04
Basic EPS from Cont Ops,2.12,2.39,2.46,2.20,2.96,3.37,3.78,3.80,4.29,5.04
"Diluted EPS, GAAP",2.10,2.37,2.45,2.19,2.94,3.34,3.75,3.77,4.25,5.01
Diluted EPS from Cont Ops,2.10,2.37,2.45,2.19,2.94,3.34,3.75,3.77,4.25,5.01
Dividend per Share,0.24,0.33,0.36,0.36,0.36,0.56,0.56,0.72,0.80,0.88
Cash Flow per Share,2.71,2.96,2.80,3.25,3.62,4.01,4.89,5.58,5.02,4.99
Free Cash Flow per Basic Share,2.45,2.67,2.52,2.98,3.29,3.65,4.44,5.26,4.55,4.39
Cash & Equivalents per Share,1.20,1.56,1.62,3.13,2.80,1.56,1.72,5.26,1.50,1.50
Book Value per Share,12.12,14.39,16.89,19.21,21.65,24.91,27.90,30.79,34.11,38.51
Tangible Book Value per Share,-3.95,-4.71,-5.54,-6.29,-5.80,-8.94,-8.62,-5.17,-9.11,-7.04
