,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,32128,30715,31556,34596,35342,33929,29903,32986,33309,38945
ST Debt,2505,500,2250,4403,1152,4419,2953,91,87,1591
LT Debt,29623,30215,29306,30193,34190,29510,26950,32895,33222,37354
Total Debt/EBITDA,4.49,3.71,2.98,2.91,2.96,2.78,2.52,2.59,2.66,3.00
Net Debt/EBITDA,3.96,3.26,2.59,2.64,2.64,2.21,2.01,2.10,2.02,2.41
Total Debt/EBIT,5.48,4.96,3.73,3.53,3.54,3.31,3.09,3.61,3.64,4.07
Net Debt/EBIT,4.83,4.36,3.24,3.20,3.16,2.63,2.47,2.92,2.77,3.27
EBITDA to Interest Expense,7.00,7.73,9.66,9.44,9.15,8.77,9.22,10.10,10.48,9.23
EBITDA-CapEx/Interest Expense,6.32,6.80,9.07,8.78,8.64,8.24,8.74,9.61,9.74,8.57
EBIT to Interest Expense,5.74,5.78,7.74,7.77,7.65,7.37,7.51,7.24,7.64,6.80
Interest Expense,1022,1071,1095,1260,1304,1392,1289,1262,1197,1406
Common Equity/Total Assets,33.66,37.37,39.91,39.09,32.42,19.98,17.09,16.51,12.26,5.98
Long-Term Debt/Equity (%),134.06,117.21,104.35,101.06,135.45,236.08,278.61,349.61,495.85,1020.32
Long-Term Debt/Capital (%),54.47,53.48,48.75,46.49,55.81,62.52,67.20,75.83,81.42,87.20
Long-Term Debt/Total Assets (%),44.80,43.78,40.94,38.90,42.76,44.43,45.14,52.26,54.32,57.36
Total Debt/Equity (%),145.40,119.15,112.37,115.80,140.02,271.43,309.14,350.58,497.15,1063.78
Total Debt/Capital (%),59.08,54.36,52.49,53.27,57.69,71.89,74.56,76.04,81.63,90.91
Total Debt/Total Assets (%),48.59,44.51,44.09,44.57,44.20,51.09,50.08,52.40,54.46,59.80
Net Debt to Equity,128.18,104.68,97.61,104.95,124.96,215.87,246.73,283.98,377.91,855.39
Net Debt/Capital (%),56.00,51.14,48.97,50.82,54.89,67.04,70.06,71.99,77.16,88.95
EBITDA,7153,8283,10578,11899,11928,12209,11880,12740,12542,12983
EBITDA-CapEx,6460,7280,9929,11062,11264,11471,11262,12132,11662,12047
Operating Income (Loss),5867,6191,8470,9794,9973,10263,9674,9139,9144,9566
