,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,87149,122143,123121,107903,125591,120084,142096,131372,126438,140250
- Cash & Cash Equivalents,3805,3731,4144,3241,3800,6945,6037,6266,7989,7629
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0
+ Total Debt,32128,30715,31556,34596,35342,33929,29903,32986,33309,38945
Enterprise Value,99876,125832,123295,104414,119255,124709,163088,153711,151710,169890
Total Capital,54385,56501,60119,64942,61262,47198,40104,43380,40805,42837
Total Debt/Capital (%),59.08,54.36,52.49,53.27,57.69,71.89,74.56,76.04,81.63,90.91
Total Debt / EV,0.32,0.24,0.26,0.33,0.30,0.27,0.18,0.21,0.22,0.23
EV/Sales,5.35,6.27,5.69,4.54,5.22,5.25,6.98,6.05,5.84,6.45
EV/EBITDA,13.96,15.19,11.66,8.78,10.00,10.21,13.73,12.07,12.10,13.09
EV/EBIT,17.02,20.32,14.56,10.66,11.96,12.15,16.86,16.82,16.59,17.76
EV/Cash Flow to Firm,13.72,13.18,12.29,9.15,10.42,9.96,15.90,13.22,14.71,15.48
EV/Free Cash Flow to Firm,12.53,11.93,11.55,8.52,9.85,9.41,15.00,12.57,13.55,14.26
Diluted Market Cap,88350,123685,125080,110242,127816,126835,146324,134030,129767,142088
Diluted Enterprise Value,116673,150669,152492,141597,159358,153819,170190,160750,155087,173404
EV per Share,132.36,165.48,163.52,141.48,165.13,198.08,275.77,265.80,271.74,318.15
TTM Sales,18676,20063,21662,22991,22849,23747,23362,25424,25979,26323
TTM EBITDA,7153,8283,10578,11899,11928,12209,11880,12740,12542,12983
TTM Operating Income,5867,6191,8470,9794,9973,10263,9674,9139,9144,9566
TTM Cash Flow to Firm,7277,9544,10029,11416,11446,12520,10256,11624,10314,10975
TTM Free Cash Flow to Firm,7970,10547,10678,12253,12110,13258,10874,12232,11194,11911
