,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.56,3.11,2.92,1.89,2.90,3.23,4.56,3.74,3.07,2.34
Current Ratio,1.36,4.71,4.15,3.32,4.28,4.48,5.81,4.99,4.34,4.29
Quick Ratio,0.95,3.78,3.54,2.44,3.36,3.77,5.22,4.25,3.54,3.05
CFO/Avg Current Liab,0.27,0.65,1.06,0.38,1.28,0.89,1.60,1.08,1.08,0.41
Common Equity/Total Assets,11.79,16.01,21.63,25.17,34.91,38.64,42.73,42.79,42.84,46.33
Long-Term Debt/Equity (%),55.51,7.66,5.23,3.57,2.27,1.65,2.87,2.18,1.42,0.90
Long-Term Debt/Capital (%),22.60,24.53,14.04,8.34,4.20,2.89,4.44,3.45,2.25,1.38
Long-Term Debt/Total Assets (%),11.84,5.25,3.55,2.29,1.53,1.15,1.98,1.53,0.99,0.65
Total Debt/Equity (%),182.61,7.85,5.40,3.57,2.27,1.65,2.87,2.18,1.42,0.90
Total Debt/Capital (%),74.35,25.16,14.50,8.34,4.20,2.89,4.44,3.45,2.25,1.38
Total Debt/Total Assets (%),38.94,5.38,3.67,2.29,1.53,1.15,1.98,1.53,0.99,0.65
CFO/Total Liabilities,12.08,44.84,53.94,21.16,79.06,53.60,74.62,51.82,57.86,26.08
CFO/CapEx,1.71,8.72,10.03,6.14,41.34,21.11,61.14,47.78,15.69,11.04
Altman's Z-Score,2.01,11.58,10.87,8.83,15.68,12.84,9.91,11.83,17.60,14.79
