,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,192,224,249,324,410,221,323,148,219,367
ST Debt,14,14,13,7,8,0,7,7,7,10
LT Debt,178,210,236,316,403,221,316,141,212,357
Total Debt/EBITDA,0.62,0.64,0.54,0.62,0.69,0.36,0.59,0.28,0.32,0.50
Net Debt/EBITDA,-0.61,-0.28,-0.16,-0.01,0.11,-0.06,-0.17,-0.87,-0.36,-0.06
Total Debt/EBIT,0.77,0.78,0.62,0.70,0.79,0.40,0.69,0.33,0.36,0.56
Net Debt/EBIT,-0.76,-0.33,-0.19,-0.01,0.12,-0.07,-0.19,-1.03,-0.40,-0.07
EBITDA to Interest Expense,54.21,60.88,62.45,71.99,58.48,74.24,49.40,72.32,159.86,78.26
EBITDA-CapEx/Interest Expense,37.07,45.77,52.62,60.93,49.15,64.10,43.55,64.53,142.40,70.78
EBIT to Interest Expense,43.74,50.39,53.93,63.07,51.53,65.68,42.28,61.36,141.74,70.07
Interest Expense,6,6,7,7,10,8,11,7,4,9
Common Equity/Total Assets,47.28,51.04,56.63,65.34,65.31,78.08,85.64,88.75,89.85,95.43
Long-Term Debt/Equity (%),13.37,15.21,16.37,20.88,24.44,12.89,18.95,7.62,11.58,20.42
Long-Term Debt/Capital (%),13.44,13.94,13.51,14.30,16.12,8.45,10.74,4.77,6.35,10.06
Long-Term Debt/Total Assets (%),7.43,8.35,8.92,10.94,12.60,7.21,10.33,4.45,6.11,10.71
Total Debt/Equity (%),14.44,16.20,17.26,21.36,24.89,12.89,19.36,7.99,11.95,20.99
Total Debt/Capital (%),14.51,14.85,14.25,14.63,16.42,8.45,10.97,5.00,6.56,10.34
Total Debt/Total Assets (%),8.02,8.90,9.41,11.19,12.84,7.21,10.55,4.67,6.30,11.01
Net Debt to Equity,-14.21,-6.92,-5.17,-0.45,3.87,-2.23,-5.40,-24.88,-13.46,-2.67
Net Debt/Capital (%),-20.04,-8.05,-5.24,-0.36,2.96,-1.62,-3.51,-19.33,-8.51,-1.48
EBITDA,309,347,462,526,591,624,543,528,687,736
EBITDA-CapEx,211,261,389,445,496,538,479,471,612,665
Operating Income (Loss),249,287,399,460,521,552,465,448,610,659
