,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,15.55,0,0,0,12.34,251.55,0,0,8.92,4.30
Price/Earnings Average,14.92,-6.10,-0.89,-14.43,13.99,391.21,-2.92,-1.14,6.96,3.64
Price/Earnings High,17.12,-7.43,-1.18,-18.61,18.97,477.79,-4.04,-2.63,10.26,4.79
Price/Earnings Low,12.26,-3.86,-0.59,-8.69,11.14,234.55,-1.94,-0.30,4.62,2.49
Price/Book Value,1.53,1.44,-2.46,-7.70,-8.79,-5.52,-1.80,-0.54,-1.02,-2.62
Price/Book Value Average,1.47,1.96,-2.98,-6.49,-9.97,-8.58,-1.94,-0.54,-0.79,-2.21
Price/Book Value High,1.68,2.39,-3.94,-8.37,-13.52,-10.48,-2.68,-1.25,-1.17,-2.92
Price/Book Value Low,1.21,1.24,-1.96,-3.91,-7.94,-5.15,-1.29,-0.14,-0.53,-1.51
Price/Tangible Book Value,1.00,0.85,4.01,3.14,1.83,1.12,2.15,-8.53,-13.09,10.81
Price/Tangible Book Value Average,0.96,1.15,4.86,2.64,2.07,1.74,2.32,-8.61,-10.22,9.14
Price/Tangible Book Value High,1.10,1.40,6.43,3.41,2.81,2.13,3.21,-19.76,-15.07,12.03
Price/Tangible Book Value Low,0.79,0.73,3.20,1.59,1.65,1.04,1.54,-2.22,-6.79,6.25
Price/Sales,2.07,1.76,2.65,4.48,2.73,1.37,1.52,1.24,1.27,1.40
Price/Sales Average,1.99,2.40,3.22,3.78,3.10,2.13,1.64,1.25,0.99,1.18
Price/Sales High,2.28,2.92,4.26,4.87,4.20,2.60,2.28,2.88,1.46,1.56
Price/Sales Low,1.64,1.52,2.12,2.27,2.47,1.28,1.09,0.32,0.66,0.81
Price/Cash Flow,3.46,2.86,5.68,9.90,6.63,2.66,3.35,3.97,2.89,3.14
Price/Cash Flow Average,3.32,3.89,6.89,8.34,7.51,4.14,3.62,4.01,2.26,2.65
Price/Cash Flow High,3.81,4.75,9.10,10.76,10.19,5.06,5.01,9.20,3.33,3.49
Price/Cash Flow Low,2.73,2.47,4.53,5.02,5.98,2.48,2.41,1.03,1.50,1.81
Price/Free Cash Flow,1.66,1.16,2.08,5.49,3.12,1.32,1.65,2.05,2.20,2.12
Price/Free Cash Flow Average,1.59,1.58,2.52,4.63,3.53,2.05,1.78,2.07,1.72,1.79
Price/Free Cash Flow High,1.83,1.93,3.33,5.97,4.79,2.50,2.47,4.75,2.53,2.36
Price/Free Cash Flow Low,1.31,1.00,1.66,2.79,2.82,1.23,1.19,0.53,1.14,1.22
EV/Sales,2.68,2.65,4.06,6.09,4.12,2.59,3.03,3.38,2.19,1.87
EV/Sales Average,2.59,3.27,4.63,5.39,4.49,3.34,3.15,3.40,1.93,1.66
EV/Sales High,2.89,3.79,5.66,6.48,5.59,3.80,3.78,5.02,2.37,2.01
EV/Sales Low,2.24,2.41,3.53,3.88,3.86,2.50,2.60,2.47,1.62,1.31
EV/EBITDA,3.81,3.82,7.41,13.21,7.76,4.35,6.19,7.71,4.08,3.20
EV/EBITDA Average,3.69,4.72,8.45,11.68,8.45,5.61,6.43,7.74,3.60,2.85
EV/EBITDA High,4.11,5.47,10.34,14.06,10.53,6.38,7.72,11.44,4.41,3.45
EV/EBITDA Low,3.18,3.48,6.43,8.42,7.27,4.20,5.31,5.62,3.03,2.25
EV/EBIT,9.11,0,0,0,28.66,9.67,46.63,86.73,5.98,3.95
EV/EBIT Average,8.82,-70.73,-1.14,-200.74,31.21,12.45,48.47,87.04,5.28,3.52
EV/EBIT High,9.82,-81.84,-1.40,-241.59,38.87,14.18,58.21,128.62,6.47,4.27
EV/EBIT Low,7.61,-52.10,-0.87,-144.62,26.82,9.33,40.05,63.23,4.44,2.78
Last Price,86.16,62.97,44.81,63.47,42.22,26.34,25.50,14.57,27.06,46.68
High Price,94.84,104.57,71.87,69.00,64.92,50.03,38.12,33.77,31.14,51.95
Low Price,67.91,54.34,35.79,32.20,38.14,24.56,18.33,3.80,14.03,26.98
Enterprise Value,43916,36385,25913,32691,24275,19041,19119,15004,17474,20674
Enterprise Value Average,42530,44985,29539,28907,26432,24521,19875,15058,15416,18427
Enterprise Value High,47351,52047,36142,34789,32923,27918,23865,22252,18889,22315
Enterprise Value Low,36693,33135,22503,20826,22721,18375,16422,10938,12953,14536
