,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),10.25,-27.86,0,0,0,0,0,0,0,0
Return on Assets (%),3.65,-9.19,-61.82,-6.79,5.87,0.18,-17.71,-31.01,8.71,27.25
Return on Capital (%),6.68,0,0,0,0,-0.78,0,0,-206.75,-45277.44
Return on Invested Capital (%),5.87,0,0,0,0,3.43,0,0,27.46,55.23
Gross Margin (%),38.71,6.10,-392.51,19.66,34.45,42.95,29.80,20.41,44.33,56.48
EBITDA Margin (%),70.25,69.26,54.79,46.10,53.12,59.53,48.93,43.86,53.60,58.36
Operating Margin (%),29.40,-4.63,-405.37,-2.68,14.39,26.80,6.49,3.90,36.57,47.22
Incremental Operating Margin (%),46.06,0,0,0,190.58,76.80,150.92,12.61,77.38,74.76
Pretax Margin (%),25.70,-21.14,-442.21,-31.34,15.59,13.04,-47.63,-109.13,23.68,51.77
Profit Margin (%),13.61,-39.30,-362.20,-26.18,22.15,0.54,-55.66,-107.87,14.21,32.54
Net Income to Common Margin (%),13.34,-39.30,-362.20,-26.18,22.15,0.54,-56.26,-109.58,14.21,32.54
Effective Tax Rate (%),45.73,0,0,0,0,70.15,0,0,30.57,28.81
Dvd Payout Ratio (%),13.74,-8.69,-1.63,-34.21,22.33,71.80,-8.70,-1.37,6.57,4.78
Sustainable Growth Rate (%),8.84,-30.28,0,0,0,0,0,0,0,0
