,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),10.26,9.85,12.13,5.86,25.19,11.20,12.55,12.79,13.52,13.80
Return on Assets (%),5.72,5.57,7.26,3.56,16.44,7.96,9.23,8.55,8.07,8.35
Return on Capital (%),6.82,6.59,7.90,4.16,18.53,8.92,10.15,9.31,9.26,9.58
Return on Invested Capital (%),9.43,8.84,10.66,8.97,10.79,9.93,11.49,10.19,8.75,9.12
Gross Margin (%),26.60,26.86,29.82,31.01,29.73,30.69,33.00,33.85,30.39,26.46
EBITDA Margin (%),24.19,24.98,28.63,32.81,32.21,32.88,36.47,38.65,34.77,29.54
Operating Margin (%),15.28,15.82,19.17,21.42,21.63,22.01,24.33,25.27,21.97,19.00
Incremental Operating Margin (%),3.92,36.74,-45.10,12.10,24.01,26.16,-1807.08,-108.31,2.06,6.09
Pretax Margin (%),13.26,12.98,17.52,20.72,17.30,22.56,25.67,27.37,24.29,21.69
Profit Margin (%),9.77,9.50,12.91,8.41,36.65,16.77,19.73,21.30,20.33,17.77
Net Income to Common Margin (%),9.77,9.50,12.91,8.41,36.65,16.77,19.73,21.30,20.33,17.77
Effective Tax Rate (%),22.80,27.02,23.99,27.83,18.42,26.02,20.97,19.74,18.46,18.18
Dvd Payout Ratio (%),52.33,63.41,49.92,62.58,67.00,58.84,53.48,55.46,60.99,61.09
Sustainable Growth Rate (%),4.89,3.60,6.07,2.19,8.31,4.61,5.84,5.69,5.27,5.37
