,2019,2020,2021,2022
Total Debt,6777,7563,8792,10160
ST Debt,384,100,270,0
LT Debt,6393,7463,8522,10160
Total Debt/EBITDA,6.94,6.19,6.57,6.54
Net Debt/EBITDA,6.74,5.72,6.30,6.01
Total Debt/EBIT,15.68,14.43,16.97,16.22
Net Debt/EBIT,15.24,13.35,16.27,14.90
EBITDA to Interest Expense,5.63,7.12,9.42,16.50
EBITDA-CapEx/Interest Expense,5.63,7.12,9.42,16.50
EBIT to Interest Expense,2.49,3.05,3.64,6.65
Interest Expense,174,172,142,94
Common Equity/Total Assets,0.01,0.01,0.01,0.00
Long-Term Debt/Equity (%),62.89,55.51,44.77,44.79
Long-Term Debt/Capital (%),79.13,80.40,73.23,73.24
Long-Term Debt/Total Assets (%),34.77,32.69,28.20,28.60
Total Debt/Equity (%),66.66,56.26,46.19,44.79
Total Debt/Capital (%),83.89,81.48,75.55,73.24
Total Debt/Total Assets (%),36.85,33.13,29.09,28.60
Net Debt to Equity,64.80,52.03,44.29,41.15
Net Debt/Capital (%),83.50,80.27,74.77,71.54
EBITDA,977,1222,1339,1554
EBITDA-CapEx,977,1222,1339,1554
Operating Income (Loss),432,524,518,626
