,2019,2020,2021,2022
Cash Ratio,0.10,0.30,0.14,0.31
Current Ratio,0.14,0.31,0.16,0.32
Quick Ratio,0.11,0.30,0.14,0.31
CFO/Avg Current Liab,0,0.47,0.44,0.48
Common Equity/Total Assets,0.01,0.01,0.01,0.00
Long-Term Debt/Equity (%),62.89,55.51,44.77,44.79
Long-Term Debt/Capital (%),79.13,80.40,73.23,73.24
Long-Term Debt/Total Assets (%),34.77,32.69,28.20,28.60
Total Debt/Equity (%),66.66,56.26,46.19,44.79
Total Debt/Capital (%),83.89,81.48,75.55,73.24
Total Debt/Total Assets (%),36.85,33.13,29.09,28.60
CFO/Total Liabilities,8.32,9.40,9.03,10.08
CFO/CapEx,0,0,0,0
Altman's Z-Score,1.48,0.09,0.04,1.23
