,2019,2020,2021,2022
Shares Outstanding,121,137,158,171
Diluted Weighted Avg Shares,113,126,147,162
Basic Weighted Avg Shares,112,126,147,162
Revenue per Share,13.65,14.95,14.39,16.01
EBITDA per Share,8.71,9.69,9.11,9.61
Operating Income per Share,3.85,4.15,3.53,3.87
"Basic EPS, GAAP",3.21,6.11,3.89,3.23
Basic EPS from Cont Ops,3.60,6.56,4.45,4.15
"Diluted EPS, GAAP",3.20,6.10,3.87,3.23
Diluted EPS from Cont Ops,3.59,6.54,4.44,4.15
Dividend per Share,4.02,4.23,4.46,4.69
Cash Flow per Share,6.09,7.00,6.88,8.01
Free Cash Flow per Basic Share,6.09,7.00,6.88,8.01
Cash & Equivalents per Share,1.57,4.16,2.29,4.83
Book Value per Share,0.01,0.01,0.01,0.01
Tangible Book Value per Share,84.16,98.35,120.43,132.85
