,2019,2020,2021,2022
Return on Common Equity (%),0,59880.31,38768.04,31740.80
Return on Assets (%),0,3.74,2.15,1.59
Return on Capital (%),0,10.21,6.03,3.66
Return on Invested Capital (%),0,2.76,2.12,2.06
Gross Margin (%),70.91,71.88,70.51,69.75
EBITDA Margin (%),63.80,64.81,63.34,60.03
Operating Margin (%),28.24,27.79,24.51,24.19
Incremental Operating Margin (%),0,25.85,-2.58,22.81
Pretax Margin (%),26.39,43.87,30.95,25.91
Profit Margin (%),23.72,40.89,27.02,20.15
Net Income to Common Margin (%),23.51,40.89,27.02,20.15
Effective Tax Rate (%),0,0,0,0
Dvd Payout Ratio (%),101.41,60.33,88.97,92.44
Sustainable Growth Rate (%),0,23752.14,4277.32,2400.67
