,2019,2020,2021,2022
Total Debt,7296,7564,8104,8316
ST Debt,0,0,0,0
LT Debt,7296,7564,8104,8316
Total Debt/EBITDA,4.87,5.34,5.91,5.25
Net Debt/EBITDA,4.84,5.18,5.60,4.86
Total Debt/EBIT,8.72,10.65,13.23,10.82
Net Debt/EBIT,8.67,10.34,12.54,10.02
EBITDA to Interest Expense,7.36,6.62,6.22,6.88
EBITDA-CapEx/Interest Expense,6.67,5.98,5.53,6.12
EBIT to Interest Expense,4.11,3.32,2.78,3.34
Interest Expense,204,214,220,230
Common Equity/Total Assets,1.49,0.66,1.22,2.38
Long-Term Debt/Equity (%),66.37,70.33,74.10,73.88
Long-Term Debt/Capital (%),96.21,98.31,97.06,94.44
Long-Term Debt/Total Assets (%),38.16,39.40,40.72,40.65
Total Debt/Equity (%),66.37,70.33,74.10,73.88
Total Debt/Capital (%),96.21,98.31,97.06,94.44
Total Debt/Total Assets (%),38.16,39.40,40.72,40.65
Net Debt to Equity,66.01,68.32,70.25,68.43
Net Debt/Capital (%),96.19,98.26,96.90,94.03
EBITDA,1498,1418,1371,1584
EBITDA-CapEx,1358,1281,1218,1409
Operating Income (Loss),837,710,613,769
