,2019,2020,2021,2022
Price/Earnings,37.20,0,0,19.84
Price/Earnings Average,36.26,0,0,23.97
Price/Earnings High,39.53,0,0,31.82
Price/Earnings Low,29.86,0,0,14.52
Price/Book Value,103.73,0,0,46.44
Price/Book Value Average,101.12,0,0,56.11
Price/Book Value High,110.25,0,0,74.48
Price/Book Value Low,83.27,0,0,33.98
Price/Tangible Book Value,2.68,0,0,2.01
Price/Tangible Book Value Average,2.62,0,0,2.43
Price/Tangible Book Value High,2.85,0,0,3.22
Price/Tangible Book Value Low,2.15,0,0,1.47
Price/Sales,12.58,0,0,8.70
Price/Sales Average,12.26,0,0,10.51
Price/Sales High,13.37,0,0,13.95
Price/Sales Low,10.10,0,0,6.36
Price/Cash Flow,22.12,0,0,15.86
Price/Cash Flow Average,21.56,0,0,19.16
Price/Cash Flow High,23.51,0,0,25.44
Price/Cash Flow Low,17.76,0,0,11.60
Price/Free Cash Flow,20.01,0,0,14.16
Price/Free Cash Flow Average,19.51,0,0,17.11
Price/Free Cash Flow High,21.27,0,0,22.71
Price/Free Cash Flow Low,16.06,0,0,10.36
EV/Sales,15.81,3.19,3.35,11.69
EV/Sales Average,15.49,3.19,3.35,13.50
EV/Sales High,16.61,3.19,3.35,16.95
EV/Sales Low,13.31,3.19,3.35,9.35
EV/EBITDA,24.53,5.18,5.61,19.14
EV/EBITDA Average,24.03,5.18,5.61,22.11
EV/EBITDA High,25.76,5.18,5.61,27.75
EV/EBITDA Low,20.64,5.18,5.61,15.31
EV/EBIT,43.92,10.35,12.55,39.42
EV/EBIT Average,43.03,10.35,12.55,45.54
EV/EBIT High,46.13,10.35,12.55,57.17
EV/EBIT Low,36.96,10.35,12.55,31.53
Last Price,209.70,0,0,161.52
High Price,222.87,0,0,259.05
Low Price,168.34,0,0,118.17
Enterprise Value,36753,7350,7687,30305
Enterprise Value Average,36009,7350,7687,35011
Enterprise Value High,38605,7350,7687,43951
Enterprise Value Low,30935,7350,7687,24240
