,2019,2020,2021,2022
Shares Outstanding,141,140,140,140
Diluted Weighted Avg Shares,140,140,140,140
Basic Weighted Avg Shares,139,140,140,140
Revenue per Share,16.67,16.39,16.43,18.57
EBITDA per Share,10.75,10.10,9.82,11.34
Operating Income per Share,6.00,5.06,4.39,5.51
"Basic EPS, GAAP",5.64,5.89,7.19,8.14
Basic EPS from Cont Ops,5.64,5.89,7.19,8.14
"Diluted EPS, GAAP",5.63,5.89,7.19,8.12
Diluted EPS from Cont Ops,5.63,5.89,7.19,8.12
Dividend per Share,6.03,6.29,6.36,6.37
Cash Flow per Share,9.48,8.69,8.61,10.18
Free Cash Flow per Basic Share,8.47,7.71,7.52,8.93
Cash & Equivalents per Share,0.28,1.56,3.01,4.38
Book Value per Share,2.02,0.91,1.73,3.48
Tangible Book Value per Share,78.17,77.08,78.26,80.45
