,2019,2020,2021,2022
Return on Common Equity (%),0,402.02,543.40,311.94
Return on Assets (%),0,4.32,5.14,5.63
Return on Capital (%),0,0,15.25,15.91
Return on Invested Capital (%),0,0,3.26,3.93
Gross Margin (%),66.96,64.23,62.79,64.56
EBITDA Margin (%),64.46,61.61,59.76,61.07
Operating Margin (%),36.00,30.87,26.70,29.64
Incremental Operating Margin (%),0,541.04,1525.25,52.25
Pretax Margin (%),34.38,35.83,44.02,44.38
Profit Margin (%),33.81,35.96,43.76,43.83
Net Income to Common Margin (%),33.81,35.96,43.76,43.83
Effective Tax Rate (%),1.63,0,0.57,1.27
Dvd Payout Ratio (%),106.86,106.75,88.48,78.34
Sustainable Growth Rate (%),0,-27.13,62.60,67.56
