,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,2520,4269,6824,13240,17636,20848,22597,23888,27450,33203
+ Sales & Services Revenue,2520,4269,6824,13240,17636,20848,22597,23888,27450,33203
- Cost of Revenue,1323,2392,3271,7300,9127,10115,10114,10372,10606,11108
+ Cost of Goods & Services,1323,2392,3271,7300,9127,10115,10114,10372,10606,11108
Gross Profit,1197,1877,3553,5940,8509,10733,12483,13516,16844,22095
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,643,1299,1784,5353,5855,5365,8303,9304,8177,7813
"+ Selling, General & Admin",222,407,486,806,799,1056,1709,1935,1347,1382
+ Research & Development,397,695,1049,2674,3292,3768,4696,4968,4854,4919
+ Other Operating Expense,24,197,249,1873,1764,541,1898,2401,1976,1512
Operating Income (Loss),554,578,1769,587,2654,5368,4180,4212,8667,14282
- Non-Operating (Income) Loss,-14,236,302,1694,719,823,1954,1769,1902,1848
"+ Interest Expense, Net",-2,104,183,575,410,514,1346,1724,1869,1637
+ Interest Expense,2,110,191,585,454,628,1444,1777,1885,1737
- Interest Income,4,6,8,10,44,114,98,53,16,100
+ Other Non-Op (Income) Loss,-12,132,119,1119,309,309,608,45,33,211
Pretax Income,568,342,1467,-1107,1935,4545,2226,2443,6765,12434
- Income Tax Expense (Benefit),16,33,76,642,35,-8084,-510,-518,29,939
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,552,309,1391,-1749,1900,12629,2736,2961,6736,11495
- Net Extraordinary Losses (Gains),0,46,27,-132,202,721,12,1,0,0
+ Discontinued Operations,0,-46,-27,-112,-6,-19,-12,-1,0,0
+ Extraord. & Accounting Changes,0,92,54,-20,208,740,24,2,0,0
Income (Loss) Incl. MI,552,263,1364,-1617,1698,11908,2724,2960,6736,11495
- Minority Interest,0,0,0,122,-98,-351,0,0,0,0
"Net Income, GAAP",552,263,1364,-1739,1796,12259,2724,2960,6736,11495
- Preferred Dividends,0,0,0,0,92,0,29,297,299,272
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",552,263,1364,-1739,1704,12259,2695,2663,6437,11223
Basic Weighted Avg Shares,247,251,264,366,405,418,398,403,411,410
"Basic EPS, GAAP",2.23,1.05,5.17,-4.75,4.21,29.33,6.77,6.61,15.66,27.37
Basic EPS from Cont Ops,2.23,1.23,5.27,-4.78,4.69,30.21,6.87,7.35,16.39,28.03
Diluted Weighted Avg Shares,252,267,281,383,421,431,419,422,430,424
"Diluted EPS, GAAP",2.19,0.99,4.85,-4.54,4.05,28.44,6.43,6.31,14.97,26.47
Diluted EPS from Cont Ops,2.19,1.16,4.95,-4.57,4.51,29.30,6.53,7.02,15.66,27.11
EBITDA,741,1203,2731,3629,7391,9449,9988,11117,14708,19266
EBITDA Margin (%),29.40,28.18,40.02,27.41,41.91,45.32,44.20,46.54,53.58,58.02
EBITA,554,578,1769,587,2654,5368,4180,4212,8667,14282
EBIT,554,578,1769,587,2654,5368,4180,4212,8667,14282
Gross Margin (%),47.50,43.97,52.07,44.86,48.25,51.48,55.24,56.58,61.36,66.55
Operating Margin (%),21.98,13.54,25.92,4.43,15.05,25.75,18.50,17.63,31.57,43.01
Profit Margin (%),21.90,6.16,19.99,-13.13,10.18,58.80,12.05,12.39,24.54,34.62
Sales per Employee,525000,508214,832195,843312,1259714,1389867,1189316,1137524,1372500,1660150
Dividend per Share,0.80,1.13,1.55,2.05,4.31,7.17,10.64,13.73,15.11,17.15
Depreciation Expense,187,625,962,3042,4737,4081,5808,6905,6041,4984
