,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,2,5509,3949,13642,17548,17493,32798,41062,39730,39515
ST Debt,1,46,46,454,117,0,2787,827,290,440
LT Debt,1,5463,3903,13188,17431,17493,30011,40235,39440,39075
Total Debt/EBITDA,0.00,4.58,1.45,3.76,2.37,1.85,3.28,3.69,2.70,2.05
Net Debt/EBITDA,-1.33,3.25,0.78,2.91,0.86,1.40,2.78,3.01,1.87,1.41
Total Debt/EBIT,0.00,9.53,2.23,23.24,6.61,3.26,7.85,9.75,4.58,2.77
Net Debt/EBIT,-1.78,6.76,1.20,17.96,2.39,2.46,6.64,7.94,3.18,1.90
EBITDA to Interest Expense,370.50,10.94,14.30,6.20,16.28,15.05,6.92,6.26,7.80,11.09
EBITDA-CapEx/Interest Expense,252.50,7.22,11.19,4.97,13.93,14.04,6.62,6.00,7.57,10.85
EBIT to Interest Expense,277.00,5.25,9.26,1.00,5.85,8.55,2.89,2.37,4.60,8.22
Interest Expense,2,110,191,585,454,628,1444,1777,1885,1737
Common Equity/Total Assets,84.69,31.39,45.19,38.08,37.63,53.41,0,0,0.99,2.19
Long-Term Debt/Equity (%),0.03,168.46,82.80,60.29,74.82,65.62,120.19,168.34,157.83,172.07
Long-Term Debt/Capital (%),0.03,62.07,44.68,36.99,42.58,39.52,91.42,97.92,97.37,95.03
Long-Term Debt/Total Assets (%),0.03,52.07,36.85,26.39,32.03,34.90,44.47,52.99,52.19,53.35
Total Debt/Equity (%),0.07,169.87,83.77,62.36,75.33,65.62,131.35,171.80,158.99,174.01
Total Debt/Capital (%),0.07,62.59,45.20,38.26,42.87,39.52,99.91,99.93,98.09,96.10
Total Debt/Total Assets (%),0.06,52.51,37.28,27.30,32.25,34.90,48.59,54.08,52.57,53.95
Net Debt to Equity,-34.13,120.41,45.12,48.20,27.23,49.52,111.11,139.93,110.32,119.33
Net Debt/Capital (%),-51.60,54.25,30.76,32.39,21.34,33.02,99.90,99.92,97.27,94.41
EBITDA,741,1203,2731,3629,7391,9449,9988,11117,14708,19266
EBITDA-CapEx,505,794,2138,2906,6322,8814,9556,10654,14265,18842
Operating Income (Loss),554,578,1769,587,2654,5368,4180,4212,8667,14282
