,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,11172,20954,34016,67449,106773,90172,115516,142299,219580,197672
- Cash & Cash Equivalents,985,1604,1822,3097,11204,4292,5055,7618,12163,12416
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,29,27,27,0
+ Minority/Non Controlling Interest,0,0,0,2984,2907,0,0,0,0,0
+ Total Debt,2,5509,3949,13642,17548,17493,32798,41062,39730,39515
Enterprise Value,10175,24859,36143,80978,116024,103373,143288,175770,247174,224771
Total Capital,2894,8802,8736,35652,40935,44265,32827,41089,40505,41119
Total Debt/Capital (%),0.07,62.59,45.20,38.26,42.87,39.52,99.91,99.93,98.09,96.10
Total Debt / EV,0.00,0.22,0.11,0.17,0.15,0.17,0.23,0.23,0.16,0.18
EV/Sales,4.04,5.82,5.30,6.12,6.58,4.96,6.34,7.36,9.00,6.77
EV/EBITDA,13.73,20.66,13.23,22.31,15.70,10.94,14.35,15.81,16.81,11.67
EV/EBIT,18.37,43.01,20.43,137.95,43.72,19.26,34.28,41.73,28.52,15.74
EV/Cash Flow to Firm,14.06,19.51,14.46,18.68,16.58,9.73,12.49,12.37,15.80,12.25
EV/Free Cash Flow to Firm,10.60,14.77,11.69,16.01,14.38,9.18,12.04,11.98,15.37,11.98
Diluted Market Cap,11302,21998,34600,64861,109978,95255,121611,147563,228658,200538
Diluted Enterprise Value,10319,25903,36727,78390,119229,108456,149383,181034,256252,227637
EV per Share,40.85,97.74,130.83,203.32,283.86,253.37,360.02,431.87,598.48,537.73
TTM Sales,2520,4269,6824,13240,17636,20848,22597,23888,27450,33203
TTM EBITDA,741,1203,2731,3629,7391,9449,9988,11117,14708,19266
TTM Operating Income,554,578,1769,587,2654,5368,4180,4212,8667,14282
TTM Cash Flow to Firm,724,1274,2499,4335,6997,10625,11472,14215,15641,18342
TTM Free Cash Flow to Firm,960,1683,3092,5058,8066,11260,11904,14678,16084,18766
