,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,4829,4762,5699,6201,10109,7526,10919,12821,17783,14627
- Cash & Cash Equivalents,352,227,159,195,224,232,254,252,163,167
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0
+ Total Debt,1028,1150,1059,1293,1582,1966,1940,2117,3105,3102
Enterprise Value,5505,5684,6599,7298,11466,9260,12605,14686,20725,17562
Total Capital,3161,3411,3461,3890,4303,4955,5043,5590,7110,7641
Total Debt/Capital (%),32.51,33.70,30.60,33.23,36.76,39.68,38.46,37.87,43.67,40.60
Total Debt / EV,0.19,0.20,0.16,0.18,0.14,0.21,0.15,0.14,0.15,0.18
EV/Sales,0.90,0.90,1.11,1.20,1.73,1.29,1.78,2.11,2.46,1.94
EV/EBITDA,8.30,8.15,9.09,9.33,13.21,9.56,12.57,13.75,15.84,12.87
EV/EBIT,12.00,11.46,12.27,12.12,16.64,11.75,15.30,17.02,19.47,16.36
EV/Cash Flow to Firm,15.30,13.60,12.83,11.67,16.86,18.25,15.01,18.26,18.85,17.14
EV/Free Cash Flow to Firm,10.17,9.59,9.91,8.77,12.65,12.12,11.49,14.35,15.11,13.27
Diluted Market Cap,5026,5038,5884,6369,10349,7870,11133,12967,18040,14878
Diluted Enterprise Value,5702,5960,6784,7466,11706,9605,12819,14832,20982,17813
EV per Share,57.24,62.84,73.34,82.65,130.28,109.30,151.20,176.61,250.89,217.32
TTM Sales,6140,6330,5967,6087,6614,7159,7070,6972,8408,9039
TTM EBITDA,663,698,726,782,868,969,1003,1068,1308,1364
TTM Operating Income,459,496,538,602,689,788,824,863,1064,1073
TTM Cash Flow to Firm,360,418,514,626,680,507,840,804,1099,1025
TTM Free Cash Flow to Firm,541,593,666,832,906,764,1097,1023,1372,1323
