,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,550,661,657,784,720,781,1285,1906,1554,1250
"+ Cash, Cash Equivalents & STI",27,23,45,75,55,130,60,547,116,85
+ Cash & Cash Equivalents,27,23,45,75,55,130,60,547,116,85
+ ST Investments,0,0,0,0,0,0,0,0,0,0
+ Accounts & Notes Receiv,434,455,522,532,484,487,466,527,519,723
"+ Accounts Receivable, Net",211,232,255,269,272,301,294,321,271,334
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",223,223,267,263,212,186,172,206,248,389
+ Inventories,33,37,38,39,41,41,44,47,57,98
+ Raw Materials,0,0,0,0,0,0,0,0,0,0
+ Work In Process,0,0,0,0,0,0,0,0,0,0
+ Finished Goods,0,0,0,0,0,0,0,0,0,0
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,33,37,38,39,41,41,44,47,57,98
+ Other ST Assets,57,146,52,138,140,123,715,785,862,344
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,14519,15470,16584,17698,18762,20442,21397,22860,24521,26537
"+ Property, Plant & Equip, Net",12391,13029,13933,14992,16246,17409,18335,19805,21176,23305
"+ Property, Plant & Equip",16514,17021,18504,19954,21716,23204,24044,25709,27505,29818
- Accumulated Depreciation,4123,3992,4571,4962,5470,5795,5709,5904,6329,6513
+ LT Investments & Receivables,0,0,0,0,0,0,0,0,0,0
+ LT Investments,0,0,0,0,0,0,0,0,0,0
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,2128,2440,2651,2706,2516,3033,3062,3055,3345,3232
+ Total Intangible Assets,1208,1208,1302,1345,1379,1659,1568,1559,1139,1143
+ Goodwill,1208,1208,1302,1345,1379,1575,1501,1504,1139,1143
+ Other Intangible Assets,0,0,0,0,0,84,67,55,0,0
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,920,1232,1349,1361,1137,1374,1494,1496,2206,2089
Total Assets,15070,16131,17241,18482,19482,21223,22682,24766,26075,27787
+ Payables & Accruals,349,367,707,857,931,863,929,918,1200,1100
+ Accounts Payable,265,286,126,154,195,175,203,189,235,254
+ Accrued Taxes,32,25,26,31,33,45,46,50,176,49
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,52,57,555,672,703,643,680,679,789,797
+ ST Debt,644,511,682,1423,1227,1035,814,1611,641,1456
+ ST Borrowings,644,511,682,1423,1227,1035,814,1611,641,1456
+ ST Finance Leases,0,0,0,0,0,0,0,0,0,0
+ Other ST Liabilities,242,363,144,112,167,196,302,352,300,255
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Misc ST Liabilities,242,363,144,112,167,196,302,352,300,255
Total Current Liabilities,1236,1241,1533,2392,2325,2094,2045,2881,2141,2811
+ LT Debt,5230,5448,5874,5759,6490,7569,8728,9410,10421,10996
+ LT Borrowings,5230,5448,5874,5759,6490,7569,8639,9329,10341,10926
+ LT Finance Leases,0,0,0,0,0,0,89,81,80,70
+ Other LT Liabilities,3876,4526,4785,5113,5282,5696,5788,6021,6215,6287
