,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,0,0,0,0,0,0,0,0,20,711
ST Debt,0,0,0,0,0,0,0,0,0,0
LT Debt,0,0,0,0,0,0,0,0,20,711
Total Debt/EBITDA,0.00,0.00,0.00,0,0,0,0,0,-0.14,6.05
Net Debt/EBITDA,-1.22,-1.31,-1.54,-1.14,-3.57,-9.86,-34.68,92.80,2.38,2.72
Total Debt/EBIT,0.00,0.00,0.00,0,0,0,0,0,-0.12,7.63
Net Debt/EBIT,-1.44,-1.49,-1.68,-1.28,-5.77,-14.07,26.94,10.99,2.12,3.43
EBITDA to Interest Expense,0,-189.80,0,-100.31,0,0,0,0,0,0
EBITDA-CapEx/Interest Expense,0,-175.95,0,-76.43,0,0,0,0,0,0
EBIT to Interest Expense,0,-167.55,0,-89.97,0,0,0,0,0,0
Interest Expense,0,0,0,0,0,0,0,0,0,0
Common Equity/Total Assets,42.53,43.72,43.93,42.52,36.43,23.82,20.37,12.30,6.51,9.01
Long-Term Debt/Equity (%),0.06,0.02,0.05,0,0,0,0,0,1.95,56.06
Long-Term Debt/Capital (%),0.11,0.04,0.08,0,0,0,0,0,15.68,73.45
Long-Term Debt/Total Assets (%),0.05,0.02,0.04,0,0,0,0,0,1.21,24.93
Total Debt/Equity (%),0.09,0.05,0.11,0,0,0,0,0,1.95,56.06
Total Debt/Capital (%),0.16,0.08,0.17,0,0,0,0,0,15.68,73.45
Total Debt/Total Assets (%),0.07,0.04,0.07,0,0,0,0,0,1.21,24.93
Net Debt to Equity,-38.40,-37.44,-37.81,-26.94,-44.85,-74.78,-31.69,-15.92,-34.01,25.25
Net Debt/Capital (%),-205.80,-147.61,-142.62,-52.37,-156.21,196.24,-1076562.50,-1074.82,157.66,52.13
EBITDA,35,37,39,36,21,35,5,-2,-149,118
EBITDA-CapEx,32,34,32,27,10,24,-11,-75,-200,62
Operating Income (Loss),29,33,35,32,13,25,-6,-14,-168,93
