,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Current Assets,3278,3581,3970,4240,4611,4636,5029,6812,6415,6628
"+ Cash, Cash Equivalents & STI",142,124,175,190,293,218,176,1751,1171,264
+ Cash & Cash Equivalents,142,124,175,190,293,218,176,1751,1171,264
+ ST Investments,0,0,0,0,0,0,0,0,0,0
+ Accounts & Notes Receiv,172,201,248,288,281,258,309,365,378,505
"+ Accounts Receivable, Net",172,201,248,288,281,258,309,365,378,505
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",0,0,0,0,0,0,0,0,0,0
+ Inventories,2861,3140,3422,3632,3882,3944,4319,4473,4640,5638
+ Raw Materials,0,0,0,0,0,0,0,0,0,0
+ Work In Process,0,0,0,0,0,0,0,0,0,0
+ Finished Goods,2861,3140,3422,3632,3882,3944,4319,4473,4640,5638
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,0,0,0,0,0,0,0,0,0,0
+ Other ST Assets,103,115,125,130,155,216,224,223,226,221
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,3614,3937,4137,4360,4649,4711,4867,7612,8101,8647
"+ Property, Plant & Equip, Net",3071,3310,3506,3733,4031,4218,4399,7091,7576,8089
"+ Property, Plant & Equip",5059,5501,5892,6330,6873,7292,7713,10718,11526,12372
- Accumulated Depreciation,1987,2190,2386,2597,2842,3073,3314,3627,3950,4283
+ LT Investments & Receivables,0,0,0,0,0,0,0,0,0,0
+ LT Investments,0,0,0,0,0,0,0,0,0,0
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,543,627,631,627,618,493,468,521,525,558
+ Total Intangible Assets,368,368,392,392,444,312,308,304,303,303
+ Goodwill,368,368,392,392,392,303,303,303,303,303
+ Other Intangible Assets,0,0,0,0,52,10,6,1,0,0
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,175,259,239,235,173,180,160,217,223,255
Total Assets,6892,7518,8107,8600,9260,9347,9896,14424,14516,15275
+ Payables & Accruals,3623,3936,4236,4465,4537,4781,5286,5671,6573,7837
+ Accounts Payable,3308,3609,3864,4096,4169,4409,4865,5156,6014,7301
+ Accrued Taxes,108,119,145,138,133,118,148,196,215,188
