,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.03,0.03,0.04,0.04,0.06,0.04,0.03,0.28,0.16,0.03
Current Ratio,0.79,0.79,0.84,0.90,0.97,0.92,0.91,1.08,0.87,0.77
Quick Ratio,0.08,0.07,0.09,0.10,0.12,0.09,0.09,0.34,0.21,0.09
CFO/Avg Current Liab,0.36,0.31,0.33,0.34,0.33,0.42,0.40,0.46,0.51,0.40
Common Equity/Total Assets,-20.00,-20.34,-17.50,-18.63,-17.73,-12.93,-13.19,-10.06,-2.89,-8.71
Long-Term Debt/Equity (%),0,0,0,0,0,0,0,0,0,0
Long-Term Debt/Capital (%),141.28,145.99,142.44,146.24,145.71,130.04,131.56,187.95,103.67,153.87
Long-Term Debt/Total Assets (%),58.23,55.37,57.05,57.26,54.87,53.56,52.61,17.18,18.14,18.58
Total Debt/Equity (%),-250.06,-270.08,-274.21,-277.98,-359.10,-332.70,-307.06,-315.37,-164.63,-89.70
Total Debt/Capital (%),148.53,153.61,143.68,147.57,147.09,131.39,132.98,210.06,116.52,172.10
Total Debt/Total Assets (%),61.22,58.27,57.55,57.78,55.39,54.12,53.18,19.20,20.39,20.78
CFO/Total Liabilities,16.49,14.67,15.55,15.19,14.69,19.14,18.33,17.78,21.57,17.07
CFO/CapEx,3.41,2.91,3.05,3.10,2.84,3.98,4.29,5.94,5.66,4.78
Altman's Z-Score,2.85,2.85,3.14,3.03,2.56,2.75,3.12,2.45,2.80,2.83
