,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,34,32,31,29,28,26,24,23,21,19
Diluted Weighted Avg Shares,37,34,32,30,29,27,25,24,23,21
Basic Weighted Avg Shares,36,33,32,30,28,27,25,24,22,20
Revenue per Share,254.50,284.83,322.79,355.84,383.00,416.06,475.20,536.62,657.89,808.29
EBITDA per Share,55.65,62.57,70.44,78.88,84.53,79.94,103.58,119.59,150.75,184.66
Operating Income per Share,49.33,55.02,61.88,68.93,73.16,67.14,88.77,102.71,132.42,162.67
"Basic EPS, GAAP",28.28,32.16,36.76,41.52,45.05,49.59,64.78,73.62,97.60,120.83
Basic EPS from Cont Ops,28.28,32.16,36.76,41.52,45.05,49.59,64.78,73.62,97.60,120.83
"Diluted EPS, GAAP",27.79,31.57,36.03,40.70,44.07,48.77,63.43,71.93,95.19,117.19
Diluted EPS from Cont Ops,27.79,31.57,36.03,40.70,44.07,48.77,63.43,71.93,95.19,117.19
Dividend per Share,0,0,0,0,0,0,0,0,0,0
Cash Flow per Share,39.37,40.32,48.32,52.77,55.24,77.13,85.26,115.55,158.23,159.70
Free Cash Flow per Basic Share,27.84,26.48,32.46,35.75,35.76,57.77,65.39,96.11,130.27,126.26
Cash & Equivalents per Share,4.15,3.85,5.72,6.52,10.54,8.46,7.33,74.90,55.41,13.82
Book Value per Share,-40.20,-47.32,-46.26,-55.01,-59.00,-46.95,-54.29,-62.06,-19.85,-69.53
Tangible Book Value per Share,-59.93,-61.59,-68.28,-74.85,-67.29,-71.20,-84.12,-50.57,-99.36,-200.86
