,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,3605,3169,5132,7532,6971,6729,7817,7800,7737,8948
ST Debt,423,175,77,222,453,219,1480,17,15,1408
LT Debt,3183,2994,5054,7310,6518,6510,6337,7783,7722,7540
Total Debt/EBITDA,3.07,2.64,4.73,6.01,3.98,3.68,4.22,4.04,3.63,4.57
Net Debt/EBITDA,2.72,2.48,4.52,5.53,3.72,3.29,3.25,3.33,3.36,4.29
Total Debt/EBIT,4.12,3.45,6.42,9.42,6.81,5.98,6.65,6.17,5.40,6.96
Net Debt/EBIT,3.65,3.24,6.14,8.67,6.38,5.34,5.12,5.09,5.01,6.54
EBITDA to Interest Expense,6.39,7.50,7.58,5.47,6.15,6.07,5.85,7.03,7.90,6.27
EBITDA-CapEx/Interest Expense,4.33,5.06,3.89,2.83,4.20,3.36,3.96,2.98,1.51,0.98
EBIT to Interest Expense,4.76,5.75,5.59,3.49,3.59,3.74,3.71,4.60,5.31,4.12
Interest Expense,184,160,143,229,285,301,317,275,270,312
Common Equity/Total Assets,63.84,72.36,56.45,35.27,35.33,39.25,40.21,40.32,40.90,43.04
Long-Term Debt/Equity (%),228.74,241.51,400.71,208.74,160.11,182.76,209.90,233.23,209.55,213.78
Long-Term Debt/Capital (%),36.21,33.81,47.41,54.49,49.58,48.83,42.62,51.13,48.69,42.88
Long-Term Debt/Total Assets (%),40.70,39.54,51.69,44.63,37.94,39.33,36.50,42.64,39.17,37.87
Total Debt/Equity (%),259.12,255.64,406.84,215.08,171.24,188.91,258.93,233.74,209.96,253.70
Total Debt/Capital (%),41.02,35.79,48.13,56.15,53.02,50.48,52.58,51.24,48.79,50.89
Total Debt/Total Assets (%),46.10,41.86,52.49,45.99,40.57,40.65,45.03,42.74,39.25,44.94
Net Debt to Equity,229.22,240.20,389.08,198.03,160.23,168.67,199.37,192.81,194.68,238.16
Net Debt/Capital (%),38.09,34.37,47.02,54.10,51.37,47.64,46.05,46.44,46.90,49.31
EBITDA,1174,1200,1085,1253,1752,1828,1854,1933,2133,1957
EBITDA-CapEx,796,809,557,647,1196,1012,1256,820,407,306
Operating Income (Loss),874,919,800,800,1023,1126,1176,1265,1433,1285
