,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total Current Assets,3150,3232,4156,3465,3293,3260,3245,5579,3009,2266
"+ Cash, Cash Equivalents & STI",1519,1681,2548,1934,1515,1413,1499,3903,1979,1232
+ Cash & Cash Equivalents,1519,1681,2548,1934,1515,1413,1499,3903,1979,1232
+ ST Investments,0,0,0,0,0,0,0,0,0,0
+ Accounts & Notes Receiv,244,252,261,294,310,367,306,269,240,226
"+ Accounts Receivable, Net",244,252,261,294,310,367,306,269,240,226
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",0,0,0,0,0,0,0,0,0,0
+ Inventories,1165,1036,1122,1096,1240,1248,1287,1273,709,709
+ Raw Materials,92,94,108,114,119,141,135,200,188,171
+ Work In Process,0,0,0,0,0,0,0,0,0,0
+ Finished Goods,1073,942,1014,982,1121,1107,1152,1073,521,538
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,0,0,0,0,0,0,0,0,0,0
+ Other ST Assets,222,263,225,141,228,232,153,134,81,99
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,4048,4312,4337,4705,4856,4830,6880,5992,3017,3228
"+ Property, Plant & Equip, Net",2045,2277,2330,2741,2893,2818,5539,4653,2030,521
"+ Property, Plant & Equip",5101,5480,5639,6282,6687,6733,9666,8762,3604,2243
- Accumulated Depreciation,3056,3203,3309,3541,3794,3915,4127,4109,1574,1722
+ LT Investments & Receivables,0,0,0,0,0,0,0,0,0,0
+ LT Investments,0,0,0,0,0,0,0,0,0,0
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,2003,2035,2007,1964,1963,2012,1341,1339,987,2707
+ Total Intangible Assets,1729,1729,1729,1759,1759,1759,1039,1039,793,793
+ Goodwill,1318,1318,1318,1348,1348,1348,628,628,628,628
+ Other Intangible Assets,411,411,411,411,411,411,411,411,165,165
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,274,306,278,205,204,253,302,300,194,1914
Total Assets,7198,7544,8493,8170,8149,8090,10125,11571,6026,5494
+ Payables & Accruals,1202,1182,1361,1507,1461,1356,1264,1341,830,1202
+ Accounts Payable,599,613,668,683,717,711,647,683,435,455
+ Accrued Taxes,288,237,300,380,300,199,208,180,73,74
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,315,332,393,444,444,446,409,478,322,673
+ ST Debt,215,0,6,36,87,72,539,594,170,177
+ ST Borrowings,215,0,6,36,87,72,61,0,0,0
+ ST Finance Leases,0,0,0,0,0,0,478,594,170,177
+ Other ST Liabilities,409,497,508,471,483,558,569,891,290,0
+ Deferred Revenue,207,227,243,259,267,316,330,361,148,195
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Misc ST Liabilities,202,270,265,212,216,242,239,530,142,-195
Total Current Liabilities,1826,1679,1875,2014,2031,1986,2372,2826,1290,1379
+ LT Debt,4761,4765,5715,5700,5707,5739,8539,8861,5843,5876
+ LT Borrowings,4761,4765,5715,5700,5707,5739,5487,6366,4854,4862
+ LT Finance Leases,0,0,0,0,0,0,3052,2495,989,1014
+ Other LT Liabilities,980,1081,1161,1183,1162,1230,709,545,410,444
+ Accrued Liabilities,210,261,257,352,238,226,219,234,157,168
+ Pension Liabilities,0,0,0,0,0,0,0,0,0,0
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Misc LT Liabilities,770,820,904,831,924,1004,490,311,253,276
Total Noncurrent Liabilities,5741,5846,6876,6883,6869,6969,9248,9406,6253,6320
Total Liabilities,7567,7525,8751,8897,8900,8955,11620,12232,7543,7699
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Share Capital & APIC,456,582,701,807,819,912,989,1034,1027,939
+ Common Stock,154,155,156,157,141,141,142,143,134,122
+ Additional Paid in Capital,302,427,545,650,678,771,847,891,893,817
- Treasury Stock,748,832,1315,1753,162,358,358,358,822,822
+ Retained Earnings,-118,233,315,205,-1434,-1482,-2182,-1421,-1803,-2401
+ Other Equity,40,35,40,12,24,59,52,83,80,78
Equity Before Minority Interest,-370,18,-259,-729,-753,-869,-1499,-662,-1518,-2206
+ Minority/Non Controlling Interest,1,1,1,2,2,4,4,1,1,1
Total Equity,-369,19,-258,-727,-751,-865,-1495,-661,-1517,-2205
Total Liabilities & Equity,7198,7544,8493,8170,8149,8090,10125,11571,6026,5494
Shares Outstanding,291,292,290,286,280,275,277,278,254,229
Capital Leases - Total,0,0,0,0,0,0,3530,3089,1159,1191
Net Debt,3457,3084,3173,3802,4279,4398,4049,2463,2875,3630
Net Debt to Equity,-936.86,16231.58,-1229.84,-522.97,-569.77,-508.44,-270.84,-372.62,-189.52,-164.63
Tangible Common Equity Ratio,-38,-29,-29,-39,-39,-41,-28,-16,-44,-64
Current Ratio,1.73,1.92,2.22,1.72,1.62,1.64,1.37,1.97,2.33,1.64
