,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Return on Common Equity (%),15.54,33.46,21.52,28.58,25.88,46.40,49.74,48.31,70.62,55.18
Return on Assets (%),3.54,8.43,6.23,8.97,7.43,11.28,10.82,10.38,13.42,8.52
Return on Capital (%),10.66,24.62,16.18,21.83,19.93,33.59,27.30,23.56,33.06,22.16
Return on Invested Capital (%),13.12,20.95,14.93,20.56,18.33,30.99,26.00,24.77,31.31,22.55
Gross Margin (%),22.85,22.43,23.25,23.96,23.43,23.23,23.03,22.37,22.49,21.41
EBITDA Margin (%),4.75,5.23,5.64,6.46,6.02,6.33,6.56,7.37,7.48,6.18
Operating Margin (%),3.06,3.61,3.98,4.80,4.40,4.54,4.70,5.60,5.81,4.19
Incremental Operating Margin (%),12.44,-7.53,-14.55,-256.00,-1.46,12.77,13.70,16.42,8.00,19.46
Pretax Margin (%),2.56,3.44,3.31,4.61,4.31,4.40,4.57,5.03,5.84,3.86
Profit Margin (%),1.25,3.06,2.27,3.12,2.37,3.41,3.53,3.80,4.74,3.06
Net Income to Common Margin (%),1.25,3.06,2.27,3.12,2.37,3.41,3.53,3.80,4.74,3.06
Effective Tax Rate (%),36.61,10.17,38.40,33.54,45.02,22.46,22.68,24.36,18.98,20.69
Dvd Payout Ratio (%),34.26,20.11,61.83,41.84,40.94,33.95,34.20,31.59,28.04,55.60
Sustainable Growth Rate (%),10.21,26.73,8.21,16.63,15.28,30.65,32.73,33.05,50.82,24.50
