,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,3970,3971,12822,11551,18870,21495,19390,17931,17610,16065
ST Debt,207,203,1452,1001,203,2601,1309,707,500,2179
LT Debt,3763,3768,11370,10550,18667,18894,18081,17224,17110,13886
Total Debt/EBITDA,2.20,1.83,5.36,3.53,6.46,5.09,4.32,4.54,3.35,3.42
Net Debt/EBITDA,1.15,0.97,4.77,3.06,1.61,4.82,4.20,3.83,2.92,3.20
Total Debt/EBIT,3.16,2.47,8.55,5.35,10.29,9.59,8.66,10.00,5.90,6.49
Net Debt/EBIT,1.66,1.31,7.60,4.64,2.56,9.08,8.42,8.42,5.14,6.08
EBITDA to Interest Expense,13.05,16.06,6.44,8.43,5.61,5.98,7.03,7.48,11.21,11.82
EBITDA-CapEx/Interest Expense,8.79,11.22,4.84,6.65,4.21,4.71,5.53,6.02,8.66,9.37
EBIT to Interest Expense,9.09,11.90,4.04,5.56,3.52,3.17,3.51,3.40,6.36,6.22
Interest Expense,138,135,371,388,521,706,639,528,469,398
Common Equity/Total Assets,96.10,99.93,47.16,51.04,35.67,24.01,25.58,24.36,26.35,29.32
Long-Term Debt/Equity (%),74.63,74.57,158.69,138.20,144.17,90.00,85.38,72.45,72.26,54.88
Long-Term Debt/Capital (%),24.05,22.96,44.64,42.87,57.74,54.86,55.37,55.40,53.80,43.96
Long-Term Debt/Total Assets (%),30.97,30.27,42.39,41.23,49.47,35.05,34.88,31.89,31.76,26.23
Total Debt/Equity (%),78.74,78.59,178.95,151.31,145.74,102.39,91.56,75.42,74.38,63.50
Total Debt/Capital (%),25.38,24.20,50.34,46.93,58.37,62.41,59.38,57.68,55.37,50.86
Total Debt/Total Assets (%),32.68,31.90,47.81,45.15,50.01,39.88,37.40,33.20,32.69,30.35
Net Debt to Equity,41.25,41.76,159.08,131.12,36.23,96.96,89.03,63.54,64.73,59.52
Net Debt/Capital (%),15.12,14.50,47.40,43.39,25.84,61.13,58.71,53.45,51.92,49.24
EBITDA,1801,2168,2391,3272,2921,4219,4493,3947,5256,4704
EBITDA-CapEx,1213,1515,1795,2579,2194,3324,3536,3178,4062,3731
Operating Income (Loss),1255,1606,1500,2158,1833,2241,2240,1793,2983,2475
