,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,7985,8491,7949,6618,6392,6319,5775,5567,8426,8275
+ Sales & Services Revenue,7985,8491,7949,6618,6392,6319,5775,5567,8426,8275
- Cost of Revenue,4427,4556,4216,3571,3465,3430,3404,3577,5077,4935
+ Cost of Goods & Services,4427,4556,4216,3571,3465,3430,3404,3577,5077,4935
Gross Profit,3558,3935,3733,3047,2928,2889,2370,1990,3348,3340
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,637,714,706,682,663,770,813,941,1473,1566
"+ Selling, General & Admin",637,714,706,682,663,770,813,887,1241,1284
+ Research & Development,0,0,0,0,0,0,0,0,0,0
+ Other Operating Expense,0,0,0,0,0,0,0,54,232,282
Operating Income (Loss),2921,3221,3028,2366,2264,2119,1557,1049,1875,1774
- Non-Operating (Income) Loss,-105,-188,-1,-134,-285,-97,-90,31,-569,45
"+ Interest Expense, Net",39,38,29,13,-23,-28,-6,19,77,98
+ Interest Expense,47,47,40,50,52,49,25,33,85,98
- Interest Income,8,9,11,37,75,77,31,14,9,0
+ Other Non-Op (Income) Loss,-145,-227,-30,-147,-261,-69,-84,12,-646,-54
Pretax Income,3027,3410,3028,2500,2549,2215,1648,1018,2444,1729
- Income Tax Expense (Benefit),856,998,924,742,759,1473,442,231,350,396
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,2171,2412,2105,1758,1790,743,1206,787,2095,1333
- Net Extraordinary Losses (Gains),41,55,139,62,186,-43,20,-24,527,83
+ Discontinued Operations,0,0,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,41,55,139,62,186,-43,20,-24,527,83
Income (Loss) Incl. MI,2130,2357,1966,1696,1604,786,1186,811,1568,1251
- Minority Interest,-20,-27,-69,-31,-93,22,-10,12,-263,-41
"Net Income, GAAP",2150,2384,2035,1727,1697,764,1196,799,1831,1292
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",2150,2384,2035,1727,1697,764,1196,799,1831,1292
Basic Weighted Avg Shares,633,625,615,584,559,537,504,492,490,489
"Basic EPS, GAAP",3.40,3.82,3.31,2.96,3.04,1.42,2.37,1.62,3.74,2.64
Basic EPS from Cont Ops,3.43,3.86,3.42,3.01,3.20,1.38,2.39,1.60,4.28,2.73
Diluted Weighted Avg Shares,634,625,615,584,559,538,504,492,491,489
"Diluted EPS, GAAP",3.39,3.81,3.31,2.96,3.03,1.42,2.37,1.62,3.73,2.64
Diluted EPS from Cont Ops,3.42,3.86,3.42,3.01,3.20,1.38,2.39,1.60,4.27,2.72
EBITDA,3015,3316,3125,2453,2345,2195,1651,1177,2186,2152
EBITDA Margin (%),37.76,39.05,39.31,37.06,36.68,34.74,28.59,21.15,25.94,26.00
EBITA,2921,3221,3028,2366,2264,2119,1557,1123,1954,1870
EBIT,2921,3221,3028,2366,2264,2119,1557,1049,1875,1774
Gross Margin (%),44.56,46.34,46.96,46.04,45.80,45.72,41.05,35.74,39.74,40.36
Operating Margin (%),36.58,37.93,38.09,35.75,35.42,33.53,26.97,18.84,22.25,21.44
Profit Margin (%),26.93,28.08,25.61,26.09,26.54,12.10,20.71,14.35,21.73,15.61
Sales per Employee,887222,913054,836705,727253,680021,651454,601510,471737,818010,844418
Dividend per Share,1.39,0.46,1.08,0.70,0.79,3.94,1.03,1.08,1.14,1.19
Depreciation Expense,94,95,97,87,80,76,93,54,232,282
