,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),3.36,8.68,9.90,8.90,1.55,2.89,-18.13,16.25,25.21,16.77
Return on Assets (%),1.20,2.73,4.02,4.02,0.84,1.39,-6.79,5.46,8.76,6.66
Return on Capital (%),2.90,5.62,7.32,6.63,2.49,3.22,0,9.21,13.37,11.25
Return on Invested Capital (%),0.72,4.29,7.14,7.49,2.01,4.32,0,9.07,12.40,12.37
Gross Margin (%),4.50,4.54,6.19,5.61,3.85,4.95,1.32,6.73,5.69,5.48
EBITDA Margin (%),2.88,2.85,4.15,3.89,2.03,3.20,-0.63,4.50,4.32,4.05
Operating Margin (%),1.96,1.80,2.89,2.62,0.70,1.84,-1.97,3.45,3.60,3.44
Incremental Operating Margin (%),53.65,4.52,-1.51,24.63,-28.20,-1027.45,0,846.97,3.96,2.28
Pretax Margin (%),1.65,1.60,2.42,2.32,0.50,1.00,-2.93,3.41,4.34,3.07
Profit Margin (%),0.50,1.14,1.82,1.74,0.35,0.58,-3.11,2.77,3.51,2.39
Net Income to Common Margin (%),0.37,1.06,1.70,1.65,0.28,0.51,-3.19,2.68,3.46,2.39
Effective Tax Rate (%),89.15,31.85,28.16,22.09,24.35,39.25,0,17.55,15.52,18.78
Dvd Payout Ratio (%),-196.92,31.22,27.96,32.28,170.78,106.08,-21.18,24.50,13.01,19.99
Sustainable Growth Rate (%),9.98,5.97,7.13,6.03,-1.09,-0.18,-21.97,12.27,21.93,13.42
