,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),34.37,37.55,33.01,27.15,16.44,27.63,36.00,26.29,11.16,20.06
Return on Assets (%),16.94,22.42,20.97,17.47,10.91,18.11,22.42,15.43,6.42,12.58
Return on Capital (%),30.00,35.08,24.98,19.37,11.72,20.67,26.87,18.47,7.52,14.94
Return on Invested Capital (%),21.54,27.99,27.41,24.21,15.36,24.18,30.37,18.59,14.57,12.26
Gross Margin (%),87.63,87.93,88.48,87.08,86.72,86.50,86.40,86.57,80.79,77.61
EBITDA Margin (%),43.59,47.46,52.17,55.34,53.84,52.16,53.67,36.47,30.01,33.62
Operating Margin (%),35.92,40.37,46.59,49.38,45.04,44.61,48.93,33.07,25.57,28.52
Incremental Operating Margin (%),46.02,51.48,103.55,93.17,-15.19,40.12,111.88,277.45,66.52,-11.62
Pretax Margin (%),35.78,40.67,44.29,43.09,41.79,43.85,49.56,37.54,15.89,35.31
Profit Margin (%),26.87,30.25,32.95,32.34,20.69,32.93,40.96,29.76,14.17,29.95
Net Income to Common Margin (%),26.87,30.25,32.95,32.34,20.69,32.93,40.96,29.76,14.17,29.95
Effective Tax Rate (%),24.23,25.08,24.37,25.08,47.94,24.16,16.25,19.66,3.01,17.62
Dvd Payout Ratio (%),0,0,0,0,0,0,0,0,0,0
Sustainable Growth Rate (%),34.37,37.55,33.01,27.15,16.44,27.63,36.00,26.29,11.16,20.06
