,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,437,436,436,435,435,439,440,14,11,1198
ST Debt,2,0,0,0,0,0,426,2,0,0
LT Debt,436,436,436,434,435,439,14,12,11,1198
Total Debt/EBITDA,1.38,1.45,1.46,1.68,1.57,1.33,1.21,0.03,0.02,1.93
Net Debt/EBITDA,0.33,0.08,-0.07,-0.08,0.18,0.02,-0.61,-1.18,-0.74,1.23
Total Debt/EBIT,2.58,2.91,2.62,3.76,3.39,2.29,1.91,0.03,0.02,2.48
Net Debt/EBIT,0.62,0.15,-0.13,-0.19,0.40,0.04,-0.96,-1.58,-0.94,1.58
EBITDA to Interest Expense,5.17,13.55,13.76,11.78,12.63,13.77,15.54,25.12,401.83,16.26
EBITDA-CapEx/Interest Expense,3.40,6.68,8.47,5.32,7.21,8.35,11.33,20.15,323.94,13.31
EBIT to Interest Expense,2.77,6.78,7.69,5.26,5.85,8.01,9.81,18.80,315.56,12.66
Interest Expense,61,22,22,22,22,24,23,22,2,38
Common Equity/Total Assets,47.40,50.73,48.71,47.69,42.85,66.42,68.31,71.44,75.99,73.31
Long-Term Debt/Equity (%),19.92,19.94,17.49,16.78,14.83,10.93,0.24,0.12,0.08,12.46
Long-Term Debt/Capital (%),21.32,20.45,19.42,19.12,19.18,10.55,0.23,0.13,0.08,10.79
Long-Term Debt/Total Assets (%),12.85,13.04,11.74,11.28,10.17,7.83,0.17,0.09,0.06,8.87
Total Debt/Equity (%),20.00,19.95,17.51,16.80,14.84,10.94,7.64,0.14,0.08,12.46
Total Debt/Capital (%),21.40,20.46,19.43,19.14,19.20,10.56,7.44,0.15,0.08,10.80
Total Debt/Total Assets (%),12.91,13.05,11.75,11.28,10.18,7.84,5.49,0.11,0.06,8.87
Net Debt to Equity,4.84,1.04,-0.87,-0.84,1.75,0.20,-3.84,-6.56,-3.36,7.95
Net Debt/Capital (%),6.18,1.32,-1.21,-1.20,2.72,0.21,-4.21,-7.52,-3.52,7.17
EBITDA,317,300,299,258,277,330,364,549,623,620
EBITDA-CapEx,209,148,184,117,158,200,265,441,502,507
Operating Income (Loss),169,150,167,115,128,192,230,411,489,483
