,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,15.04,14.31,14.31,14.27,12.21,10.60,9.41,6.15,11.61,9.53
Days Sales Outstanding,24.27,25.51,25.50,25.57,29.90,34.43,38.80,59.32,31.43,38.30
Inventory Turnover,0,0,0,0,0,0,0,0,0,0
Days Inventory Outstanding,0,0,0,0,0,0,0,0,0,0
Accounts Payable Turnover,4.99,3.24,2.09,1.15,0.46,0,0,0,0,0
Accounts Payable Turnover Days,73.17,112.50,174.46,316.14,791.54,0,0,0,0,0
Cash Conversion Cycle,-48.90,-87.00,-148.95,-290.57,-761.64,0,0,0,0,0
Inventory to Cash Days,24.27,25.51,25.50,25.57,29.90,0,0,0,0,0
Inventories,0,0,0,0,0,0,0,0,0,0
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,0,0,0,0,0,0,0,0,0,0
