,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0,1024.00,0,0,0
Return on Assets (%),0,3.71,-0.16,0.36,0.24,-21.75,-0.60,-1.73
Return on Capital (%),0,238.89,0,0.78,0.32,0,-44.46,263.92
Return on Invested Capital (%),0,9.13,0,1.51,1.38,0,-4.93,-222.40
Gross Margin (%),26.94,23.71,17.67,17.42,18.59,15.45,19.72,20.80
EBITDA Margin (%),17.44,13.25,9.34,12.12,12.66,10.20,13.07,13.95
Operating Margin (%),14.26,9.10,2.92,5.63,6.71,3.84,7.69,8.93
Incremental Operating Margin (%),0,34.28,-18.08,13.79,32.57,25.69,-463.91,50.16
Pretax Margin (%),-0.95,4.40,-2.01,2.36,3.16,-73.42,2.08,0.10
Profit Margin (%),-3.63,3.04,-0.36,0.85,0.54,-48.01,-1.07,-2.84
Net Income to Common Margin (%),-3.63,3.04,-0.36,0.85,0.54,-48.01,-1.07,-2.84
Effective Tax Rate (%),0,42.81,0,47.69,64.01,0,177.10,2727.27
Dvd Payout Ratio (%),0,0,-21.50,84.91,179.95,-3.45,-169.84,-133.87
Sustainable Growth Rate (%),0,0,0,0,-818.71,0,0,0
