,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,0,15.62,5.37,4.29,3.85,3.44,3.64,3.64
Days Sales Outstanding,0,23.37,67.98,85.11,94.82,106.11,100.18,100.14
Inventory Turnover,0,6.28,3.66,4.14,4.21,3.88,3.93,3.91
Days Inventory Outstanding,0,58.12,99.76,88.17,86.78,94.13,92.98,93.30
Accounts Payable Turnover,0,14.06,5.85,5.13,4.68,4.44,4.41,4.32
Accounts Payable Turnover Days,0,25.95,62.41,71.08,78.04,82.19,82.77,84.53
Cash Conversion Cycle,0,55.54,105.33,102.20,103.56,118.04,110.39,108.91
Inventory to Cash Days,0,-34.76,-31.78,-3.06,8.03,11.98,7.20,6.85
Inventories,0,3224,4507,4620,4608,4421,3979,4587
Raw Materials,0,1639,0,0,0,0,0,0
Work In Process,0,1639,1930,2045,2062,2084,1751,2168
Finished Goods,0,1585,2577,2575,2546,2337,2228,2419
Other Inventory,0,-1639,0,0,0,0,0,0
