,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,4.53,5.07,5.23,4.86,5.39,5.30,4.98,4.83,5.29,5.07
Days Sales Outstanding,80.62,71.92,69.74,75.05,67.75,68.85,73.26,75.61,68.99,72.02
Inventory Turnover,0,0,0,0,0,0,0,0,0,0
Days Inventory Outstanding,0,0,0,0,0,0,0,0,0,0
Accounts Payable Turnover,4.32,4.72,4.97,4.73,6.04,5.70,5.80,13.61,0,0
Accounts Payable Turnover Days,84.46,77.39,73.40,77.23,60.42,64.02,62.91,26.83,0,0
Cash Conversion Cycle,-3.84,-5.47,-3.65,-2.18,7.33,4.83,10.34,48.79,68.99,72.02
Inventory to Cash Days,80.62,71.92,69.74,75.05,67.75,68.85,73.26,75.61,68.99,72.02
Inventories,0,0,0,0,0,0,0,0,0,0
Raw Materials,0,0,0,0,0,0,0,0,0,0
Work In Process,0,0,0,0,0,0,0,0,0,0
Finished Goods,0,0,0,0,0,0,0,0,0,0
Other Inventory,0,0,0,0,0,0,0,0,0,0
