,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Price/Earnings,18.54,20.90,24.50,27.11,31.42,30.70,31.19,34.25,31.15,30.91
Price/Earnings Average,16.17,19.74,21.76,24.66,25.70,27.43,29.83,30.95,34.94,27.96
Price/Earnings High,19.25,23.30,25.41,28.16,32.75,33.23,33.97,35.41,40.13,34.22
Price/Earnings Low,12.12,15.99,18.68,21.61,19.54,21.96,20.31,26.18,28.66,24.52
Price/Book Value,4.99,5.22,5.80,5.95,7.74,6.99,6.28,7.28,5.97,6.28
Price/Book Value Average,4.36,4.93,5.15,5.41,6.33,6.24,6.01,6.58,6.70,5.68
Price/Book Value High,5.18,5.82,6.01,6.18,8.07,7.56,6.84,7.53,7.70,6.95
Price/Book Value Low,3.26,3.99,4.42,4.74,4.82,5.00,4.09,5.56,5.50,4.98
Price/Tangible Book Value,-199.67,-24.81,-45.91,-13.63,-20.45,-15.72,-15.88,-5.64,-6.39,-7.28
Price/Tangible Book Value Average,-174.17,-23.44,-40.78,-12.40,-16.73,-14.04,-15.18,-5.10,-7.16,-6.58
Price/Tangible Book Value High,-207.26,-27.66,-47.62,-14.16,-21.32,-17.02,-17.29,-5.83,-8.23,-8.05
Price/Tangible Book Value Low,-130.52,-18.98,-35.01,-10.87,-12.72,-11.24,-10.34,-4.31,-5.88,-5.77
Price/Sales,1.91,2.23,2.60,2.14,3.10,3.39,3.19,3.75,2.94,3.22
Price/Sales Average,1.66,2.10,2.31,1.95,2.54,3.03,3.05,3.39,3.30,2.91
Price/Sales High,1.98,2.48,2.70,2.22,3.24,3.67,3.47,3.88,3.79,3.56
Price/Sales Low,1.25,1.70,1.98,1.71,1.93,2.43,2.07,2.87,2.71,2.55
Price/Cash Flow,12.58,13.91,17.21,17.17,19.38,23.98,24.12,29.29,37.86,23.68
Price/Cash Flow Average,10.97,13.14,15.29,15.62,15.85,21.43,23.06,26.47,42.48,21.41
Price/Cash Flow High,13.06,15.50,17.85,17.84,20.21,25.97,26.27,30.28,48.79,26.21
Price/Cash Flow Low,8.22,10.64,13.12,13.69,12.05,17.16,15.70,22.39,34.84,18.78
Price/Free Cash Flow,11.14,12.09,14.58,10.82,15.52,21.32,20.08,24.18,30.41,21.07
Price/Free Cash Flow Average,9.72,11.42,12.95,9.84,12.70,19.05,19.20,21.85,34.12,19.06
Price/Free Cash Flow High,11.56,13.48,15.13,11.25,16.18,23.08,21.87,25.00,39.18,23.33
Price/Free Cash Flow Low,7.28,9.25,11.12,8.63,9.65,15.25,13.07,18.48,27.98,16.71
EV/Sales,1.97,2.33,2.70,2.31,3.27,3.62,3.49,4.50,3.59,3.75
EV/Sales Average,1.73,2.21,2.41,2.12,2.71,3.26,3.35,4.14,3.95,3.44
EV/Sales High,2.05,2.58,2.80,2.39,3.41,3.90,3.77,4.63,4.44,4.09
EV/Sales Low,1.31,1.82,2.08,1.88,2.10,2.67,2.37,3.61,3.35,3.08
EV/EBITDA,10.30,11.55,13.39,14.24,18.69,19.13,19.21,24.98,18.76,18.40
EV/EBITDA Average,9.03,10.95,11.95,13.06,15.48,17.25,18.45,22.96,20.64,16.88
EV/EBITDA High,10.68,12.80,13.87,14.74,19.44,20.59,20.79,25.69,23.21,20.09
EV/EBITDA Low,6.86,8.99,10.33,11.60,12.02,14.10,13.07,20.05,17.52,15.12
EV/EBIT,12.00,13.38,15.65,18.02,23.83,24.19,25.26,33.11,26.97,24.27
EV/EBIT Average,10.52,12.69,13.97,16.53,19.73,21.81,24.25,30.44,29.67,22.27
EV/EBIT High,12.44,14.83,16.21,18.66,24.78,26.04,27.33,34.05,33.37,26.50
EV/EBIT Low,7.99,10.42,12.07,14.68,15.32,17.83,17.18,26.58,25.19,19.94
Last Price,40.77,50.04,63.68,75.08,115.10,127.68,125.77,162.05,143.89,165.63
High Price,42.32,55.78,66.05,78.00,119.99,138.24,136.99,167.54,185.40,183.33
Low Price,26.65,38.28,48.56,59.86,71.58,91.34,81.90,123.87,132.40,131.35
Enterprise Value,5049,6280,7828,9578,14176,15791,15787,22471,20492,22722
Enterprise Value Average,4426,5952,6987,8786,11738,14238,15155,20658,22548,20850
Enterprise Value High,5234,6958,8109,9918,14744,16998,17078,23109,25361,24812
Enterprise Value Low,3361,4890,6039,7805,9114,11637,10738,18038,19144,18673
