,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Return on Common Equity (%),29.41,27.22,25.28,23.59,26.75,25.25,21.05,22.39,19.93,21.23
Return on Assets (%),12.49,12.59,11.72,10.84,13.26,13.42,10.55,8.42,6.62,7.69
Return on Capital (%),19.65,18.28,15.74,14.57,17.19,16.35,13.32,11.14,9.21,11.19
Return on Invested Capital (%),19.25,19.43,17.46,16.56,20.85,21.44,17.12,11.95,10.54,12.91
Gross Margin (%),31.14,32.14,31.79,24.94,26.80,28.20,27.91,28.49,27.89,29.46
EBITDA Margin (%),19.16,20.18,20.18,16.24,17.52,18.92,18.14,18.02,19.14,20.38
Operating Margin (%),16.44,17.42,17.27,12.83,13.74,14.96,13.80,13.59,13.31,15.45
Incremental Operating Margin (%),63.84,35.68,15.29,2.52,33.80,179.26,-16.73,11.56,11.36,50.17
Pretax Margin (%),15.46,16.29,16.19,11.78,12.96,13.92,12.80,13.94,11.77,13.12
Profit Margin (%),10.28,10.66,10.61,7.89,9.88,11.05,10.21,10.96,9.44,10.40
Net Income to Common Margin (%),10.28,10.66,10.61,7.89,9.88,11.05,10.21,10.96,9.44,10.40
Effective Tax Rate (%),33.50,34.59,34.42,33.07,23.73,20.62,20.19,21.36,19.80,20.67
Dvd Payout Ratio (%),36.77,42.60,44.94,46.59,38.75,43.81,52.11,47.80,53.92,52.49
Sustainable Growth Rate (%),18.60,15.63,13.92,12.60,16.38,14.19,10.08,11.69,9.18,10.09
