,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,15894,17748,25061,29462,34049,48003,62758,50361,61283,66321
- Cash & Cash Equivalents,217,587,319,196,188,146,217,1734,1925,928
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0
+ Total Debt,4240,4262,5677,5484,5578,7030,10277,9539,9451,9282
Enterprise Value,19917,21423,30419,34750,39439,54887,72818,58166,68809,74675
Total Capital,-4314,-4025,-3234,-3080,-2796,93,8040,7178,8076,8549
Total Debt/Capital (%),-98.28,-105.89,-175.54,-178.05,-199.50,7559.14,127.82,132.89,117.03,108.57
Total Debt / EV,0.21,0.20,0.19,0.16,0.14,0.13,0.14,0.16,0.14,0.12
EV/Sales,2.79,2.90,4.07,4.14,4.36,5.59,6.78,5.87,5.79,5.89
EV/EBITDA,12.66,13.17,17.29,16.28,16.61,21.50,26.47,32.19,23.59,23.56
EV/EBIT,22.53,23.75,30.73,26.35,25.76,33.08,41.85,85.04,37.72,36.73
EV/Cash Flow to Firm,15.83,11.26,43.18,24.32,27.17,92.53,14.36,31.03,31.28,41.18
EV/Free Cash Flow to Firm,13.25,9.91,31.97,19.25,22.27,60.37,13.16,25.85,24.99,30.79
Diluted Market Cap,16121,18023,24960,29789,34525,48587,63463,50364,61639,66615
Diluted Enterprise Value,20144,21698,30318,35077,39915,55471,73523,58169,69165,74969
EV per Share,15.06,16.14,22.59,25.51,28.71,39.64,52.20,41.06,48.27,52.10
TTM Sales,7143,7380,7477,8386,9048,9823,10735,9913,11888,12682
TTM EBITDA,1573,1627,1759,2134,2375,2553,2751,1807,2917,3169
TTM Operating Income,884,902,990,1319,1531,1659,1740,684,1824,2033
TTM Cash Flow to Firm,1258,1903,704,1429,1452,593,5072,1874,2200,1814
TTM Free Cash Flow to Firm,1503,2162,951,1805,1771,909,5533,2250,2754,2426
