,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,1223,1340,2566,2220,2188,2113,1960,3787,4327,4228
ST Debt,202,624,442,176,85,173,286,49,66,62
LT Debt,1021,716,2125,2044,2104,1941,1674,3738,4261,4166
Total Debt/EBITDA,1.06,1.04,2.04,3.60,1.47,1.30,1.13,3.19,2.07,1.96
Net Debt/EBITDA,0.25,0.42,1.58,2.88,1.11,0.85,0.65,1.80,1.19,1.34
Total Debt/EBIT,1.43,1.39,2.73,9.83,2.03,1.78,1.50,6.13,3.29,2.95
Net Debt/EBIT,0.33,0.56,2.12,7.86,1.53,1.15,0.87,3.46,1.89,2.02
EBITDA to Interest Expense,33.76,35.55,20.86,7.30,21.06,27.62,31.67,16.25,22.43,41.42
EBITDA-CapEx/Interest Expense,21.54,20.09,11.30,1.38,13.12,18.32,22.93,9.93,15.25,27.52
EBIT to Interest Expense,25.01,26.48,15.56,2.67,15.28,20.27,23.69,8.47,14.13,27.56
Interest Expense,34,36,60,85,71,59,55,73,93,52
Common Equity/Total Assets,45.97,51.46,47.65,47.74,46.32,52.88,61.28,39.29,40.27,43.88
Long-Term Debt/Equity (%),28.11,19.41,58.50,61.89,54.99,44.67,34.56,55.35,58.68,55.49
Long-Term Debt/Capital (%),22.82,13.95,30.99,31.34,30.80,25.63,20.81,36.00,37.66,34.81
Long-Term Debt/Total Assets (%),14.76,9.91,24.03,23.13,21.49,19.22,17.25,23.31,25.71,24.51
Total Debt/Equity (%),33.66,36.31,70.66,67.22,57.20,48.64,40.46,56.08,59.58,56.31
Total Debt/Capital (%),27.32,26.10,37.43,34.04,32.04,27.91,24.37,36.48,38.24,35.32
Total Debt/Total Assets (%),17.68,18.54,29.02,25.12,22.36,20.93,20.20,23.62,26.11,24.88
Net Debt to Equity,7.79,14.69,54.75,53.78,42.94,31.62,23.29,31.65,34.23,38.49
Net Debt/Capital (%),8.01,12.50,31.67,29.22,26.14,20.11,15.64,24.47,26.24,27.18
EBITDA,1155,1294,1260,617,1485,1621,1742,1186,2086,2154
EBITDA-CapEx,737,731,683,117,925,1075,1261,725,1418,1431
Operating Income (Loss),855,964,940,226,1077,1190,1303,618,1314,1433
