,2019,2020,2021,2022
Total Debt,12236,13486,13346,14694
ST Debt,0,0,145,0
LT Debt,12236,13486,13201,14694
Total Debt/EBITDA,7.08,8.47,7.88,8.10
Net Debt/EBITDA,6.46,7.14,7.35,7.47
Total Debt/EBIT,11.68,14.87,13.71,13.84
Net Debt/EBIT,10.66,12.55,12.79,12.77
EBITDA to Interest Expense,4.19,3.69,4.00,4.15
EBITDA-CapEx/Interest Expense,4.19,3.69,4.00,4.15
EBIT to Interest Expense,2.54,2.10,2.30,2.43
Interest Expense,413,432,423,437
Common Equity/Total Assets,-3.57,-2.22,-2.79,-1.61
Long-Term Debt/Equity (%),152.52,161.58,164.13,175.55
Long-Term Debt/Capital (%),87.31,86.85,88.42,88.83
Long-Term Debt/Total Assets (%),57.49,59.00,59.05,60.70
Total Debt/Equity (%),152.52,161.58,165.93,175.55
Total Debt/Capital (%),87.31,86.85,89.39,88.83
Total Debt/Total Assets (%),57.49,59.00,59.70,60.70
Net Debt to Equity,139.19,136.33,154.72,161.88
Net Debt/Capital (%),83.52,82.10,85.95,85.48
EBITDA,1728,1593,1694,1814
EBITDA-CapEx,1728,1593,1694,1814
Operating Income (Loss),1048,907,973,1061
