,2019,2020,2021,2022
Shares Outstanding,155,156,157,157
Diluted Weighted Avg Shares,155,156,156,157
Basic Weighted Avg Shares,155,155,156,157
Revenue per Share,19.15,17.79,18.50,19.83
EBITDA per Share,11.18,10.25,10.85,11.57
Operating Income per Share,6.78,5.83,6.23,6.77
"Basic EPS, GAAP",3.31,5.54,3.18,5.42
Basic EPS from Cont Ops,4.22,6.55,4.05,6.51
"Diluted EPS, GAAP",3.30,5.54,3.17,5.40
Diluted EPS from Cont Ops,4.21,6.55,4.04,6.49
Dividend per Share,4.31,4.43,4.38,4.37
Cash Flow per Share,7.64,7.44,7.26,8.18
Free Cash Flow per Basic Share,7.64,7.44,7.26,8.18
Cash & Equivalents per Share,4.17,10.72,2.89,4.40
Book Value per Share,-4.90,-3.26,-3.99,-2.49
Tangible Book Value per Share,50.54,52.32,51.38,53.40
